"","player","i","X1","rk","pos","age","tm.x","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","team","tm.y"
"153","Chauncey Billups",2013,16026,44,"SG",36,"LAC",22,22,19,2.4,6,0.402,1.5,4.1,0.367,0.9,1.9,0.476,0.527,2,2.2,0.938,0.1,1.4,2.2,0.5,0,1.2,1.1,8.4,418,15,0.601,0.682,0.364,0.6,8.4,17.4,1.5,0.2,14.5,19.6,1,0.3,1.3,0.146,2.4,-2.7,0.2,"LAC",4000000
"154","Chauncey Billups",2014,16610,48,"SG",37,"DET",19,7,16.3,1.3,4.2,0.304,0.7,2.5,0.292,0.5,1.6,0.323,0.392,0.5,0.6,0.833,0.2,1.3,2.2,0.4,0.1,1.3,1.3,3.8,309,5.3,0.427,0.608,0.152,1.3,8.9,18.7,1.3,0.3,22.9,15.1,-0.3,0.1,-0.3,-0.042,-3.8,-2.4,-0.3,"DET",2500000
"155","Chris Andersen",2014,16567,13,"C",35,"MIA",72,0,19.4,2.5,3.8,0.644,0,0.2,0.25,2.4,3.7,0.662,0.649,1.7,2.3,0.71,1.8,3.5,0.3,0.4,1.3,0.7,2.3,6.6,1396,18.5,0.683,0.044,0.615,12.1,21.7,2.1,1.2,6.1,13.2,13.8,3.8,2.2,6,0.205,0.1,1.5,1.3,"MIA",1423999
"156","Chris Andersen",2015,17177,14,"C",36,"MIA",60,20,18.9,2,3.5,0.58,0.1,0.2,0.308,1.9,3.2,0.598,0.589,1.3,1.9,0.667,1.3,3.7,0.7,0.4,1,0.7,1.5,5.3,1132,16.1,0.622,0.063,0.551,8.2,23.2,6.1,1.2,4.6,13.5,12.3,2.1,1.5,3.6,0.151,-1.2,2.3,0.9,"MIA",5187500
"157","Chris Andersen",2017,18401,11,"C",38,"CLE",12,0,9.5,0.8,1.8,0.409,0,0.3,0,0.8,1.6,0.474,0.409,0.8,1.2,0.714,0.8,1.8,0.4,0.4,0.6,0.4,1.7,2.3,114,11.6,0.497,0.136,0.636,9,20.6,5.9,2.2,5,15.1,13,0.1,0.2,0.2,0.102,-3.8,3,0,"CLE",1013142
"158","Chris Bosh",2015,17228,59,"C",30,"MIA",44,44,35.4,7.8,16.9,0.46,1.4,3.8,0.375,6.4,13.1,0.485,0.503,4.1,5.3,0.772,1,6,2.2,0.9,0.6,2.2,1.6,21.1,1556,19.8,0.548,0.226,0.311,3.6,20,12,1.4,1.4,10.1,28.4,2.1,1.5,3.6,0.111,1,-1,0.8,"MIA",23741060
"159","Chris Copeland",2014,16680,101,"SF",29,"IND",41,0,6.5,1.3,2.9,0.47,0.8,1.9,0.418,0.5,0.9,0.579,0.611,0.2,0.3,0.714,0.2,0.6,0.4,0.1,0.2,0.3,0.9,3.7,265,17.6,0.621,0.675,0.12,3.1,10.1,12.6,0.6,2,10.2,23.7,0.6,0.4,1,0.186,3.5,-2.1,0.2,"IND",3067500
"160","Chris Copeland",2016,17913,95,"PF",31,"MIL",24,1,6.5,0.7,2.1,0.333,0.4,1.5,0.278,0.3,0.6,0.467,0.431,0.3,0.3,0.857,0,0.4,0.5,0.1,0,0.3,0.7,2.1,156,5.4,0.462,0.706,0.137,0.7,6.5,10.3,0.7,0,10,17.3,-0.1,0,-0.1,-0.017,-2.5,-5.2,-0.2,"MIL",805000
"161","Chris Douglas-Roberts",2014,16726,128,"SF",27,"CHA",49,8,20.7,2.3,5.1,0.44,1,2.7,0.386,1.2,2.4,0.5,0.542,1.3,1.7,0.805,0.3,2.1,1,0.6,0.3,0.7,1.2,6.9,1016,12.2,0.588,0.524,0.325,1.8,11.5,7.9,1.5,1.2,11.1,14.7,1.1,1.2,2.4,0.113,-0.3,0.4,0.5,"CHA",708142
"162","Chris Johnson",2012,15708,246,"C",26,"NOH",7,0,11.7,1.3,2.6,0.5,0,0,NA,1.3,2.6,0.5,0.5,0.7,1,0.714,1,2.1,0.1,0.7,0.1,1.1,1.9,3.3,82,10.1,0.546,0,0.389,10.3,21.4,2,3.3,1,27.5,16.8,-0.1,0.1,0.1,0.038,-5.3,0.3,-0.1,"POR",762195
"163","Chris Johnson",2012,15707,246,"C",26,"POR",20,0,4.7,0.6,1.2,0.478,0,0,NA,0.6,1.2,0.478,0.478,0.5,0.6,0.833,0.4,0.5,0.1,0.1,0.4,0.4,1,1.6,93,11.4,0.566,0,0.522,9.8,12.8,1.7,0.6,6.6,19.8,17.4,0.1,0.1,0.1,0.077,-4.4,0.1,-0.1,"POR",762195
"164","Chris Johnson",2012,15706,246,"C",26,"TOT",27,0,6.5,0.7,1.5,0.488,0,0,NA,0.7,1.5,0.488,0.488,0.6,0.7,0.789,0.6,0.9,0.1,0.2,0.3,0.6,1.2,2,175,10.8,0.557,0,0.463,10.1,16.8,1.8,1.9,4,23.3,17.1,0,0.2,0.2,0.059,-4.8,0.2,-0.1,"POR",762195
"165","Chris Kaman",2013,16264,242,"C",30,"DAL",66,52,20.7,4.7,9.3,0.507,0,0,0,4.7,9.3,0.508,0.507,1,1.3,0.788,1.5,4.2,0.8,0.4,0.8,1.6,2.1,10.5,1363,16.3,0.529,0.002,0.138,8.1,22.1,6.6,1.1,3,13.6,25.3,0,1.6,1.6,0.058,-3.2,-0.5,-0.6,"DAL",8000000
"166","Chris Kaman",2014,16868,248,"C",31,"LAL",39,13,18.9,4.5,8.9,0.509,0,0.1,0,4.5,8.8,0.513,0.509,1.3,1.7,0.765,1.4,4.5,1.5,0.3,1,1.9,2.4,10.4,736,17,0.537,0.009,0.197,7.8,25.4,14.1,0.7,3.9,16.4,26.7,-0.2,0.7,0.5,0.036,-3.1,0.7,-0.1,"LAL",3183000
"167","Chris Kaman",2015,17478,257,"C",32,"POR",74,13,18.9,3.8,7.4,0.515,0,0,NA,3.8,7.4,0.515,0.515,1,1.4,0.706,2,4.5,0.9,0.2,0.7,1.5,1.9,8.6,1398,17.3,0.537,0,0.186,11.6,25.2,7.8,0.7,2.8,15.4,22.5,1.1,2.2,3.3,0.112,-2.5,1.1,0.2,"POR",4908000
"168","Chris Quinn",2013,16402,349,"SG",29,"CLE",7,0,11.1,0.6,2.3,0.25,0,0.7,0,0.6,1.6,0.364,0.25,0.3,0.3,1,0.1,0.1,1.3,0.4,0,0.9,0.6,1.4,78,1.3,0.296,0.313,0.125,1.4,1.6,16.3,2,0,26.2,13.1,-0.2,0,-0.2,-0.124,-7.7,-3.1,-0.2,"CLE",638141
"169","Chris Wilcox",2012,15943,458,"C",29,"BOS",28,4,17.2,2.3,3.8,0.598,0,0,NA,2.3,3.8,0.598,0.598,0.9,1.4,0.615,1.4,3,0.4,0.4,0.3,1.1,2.3,5.4,481,12.4,0.612,0,0.364,9.8,19.7,4.1,1.2,1.4,19.5,15.4,0.4,0.9,1.3,0.132,-2.5,0.9,0,"BOS",3000000
"170","Chris Wilcox",2013,16528,451,"C",30,"BOS",61,7,13.6,1.8,2.5,0.719,0,0,0,1.8,2.5,0.724,0.719,0.6,1,0.672,0.9,2,0.4,0.5,0.5,0.6,2,4.2,830,15.3,0.725,0.007,0.379,8.1,17.3,4.2,2,2.7,16,12.1,1.8,1.3,3.1,0.181,-0.5,1.7,0.7,"BOS",1352181
"171","Christian Wood",2017,18971,474,"PF",21,"CHO",13,0,8.2,0.9,1.8,0.522,0,0.4,0,0.9,1.4,0.667,0.522,0.8,1.2,0.733,1.1,1.2,0.2,0.2,0.5,0.5,0.8,2.7,107,15.1,0.591,0.217,0.652,14.3,15.5,2.8,1.4,4.9,19.1,15.4,0.1,0.1,0.3,0.125,-2.5,0.6,0,"CHA",944691
"172","Chuck Hayes",2012,15642,198,"C",28,"SAC",54,9,19.2,1.4,3.1,0.429,0,0,0,1.4,3.1,0.435,0.429,0.5,0.7,0.667,1.3,3,1.4,0.7,0.3,0.9,2.1,3.2,1039,8.9,0.459,0.012,0.229,7.3,18,10.4,1.8,1.2,21.1,9.9,0.1,0.5,0.6,0.028,-3.1,1.3,0.1,"SAC",5604375
"173","Cole Aldrich",2014,16556,6,"C",25,"NYK",46,2,7.2,0.7,1.3,0.541,0,0,NA,0.7,1.3,0.541,0.541,0.6,0.7,0.867,0.8,2,0.3,0.2,0.7,0.4,0.9,2,330,19.1,0.62,0,0.492,12.8,33.8,6.4,1.3,8.1,19.5,13,0.6,0.6,1.2,0.178,-2.6,3.8,0.3,"NYK",916099
"174","Cole Aldrich",2015,17169,8,"C",26,"NYK",61,16,16,2.4,4.9,0.478,0,0,NA,2.4,4.9,0.478,0.478,0.8,1,0.781,1.7,3.9,1.2,0.6,1.1,1,2,5.5,976,18.1,0.513,0,0.213,11.6,28.9,13.3,2,5.5,15.2,18.3,0.8,1.4,2.2,0.107,-2.2,3.1,0.7,"NYK",981084
"175","Cole Aldrich",2017,18396,6,"C",28,"MIN",62,0,8.6,0.7,1.4,0.523,0,0,NA,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,0.4,0.4,0.4,0.3,1.4,1.7,531,12.7,0.549,0,0.256,11,23.9,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2,2.6,0.4,"MIN",7300000
"176","Corey Brewer",2012,15483,61,"SF",25,"DEN",59,17,21.8,3.4,7.8,0.434,0.6,2.2,0.26,2.8,5.7,0.5,0.47,1.5,2.2,0.692,0.7,1.8,1.5,1.2,0.3,0.9,1.9,8.9,1287,13.7,0.505,0.274,0.281,4,9.4,10.6,2.9,1,9.7,20,1.1,1.1,2.3,0.085,0.3,0,0.8,"DEN",3059000
"177","Corey Brewer",2014,16627,63,"SF",27,"MIN",81,81,32.2,4.8,10,0.481,0.7,2.6,0.28,4.1,7.4,0.552,0.517,2,2.8,0.718,0.8,1.8,1.7,1.9,0.4,1.3,2.6,12.3,2609,12.7,0.55,0.261,0.281,2.6,6.2,7.9,2.9,0.9,10.4,16.5,2.4,2.7,5.2,0.095,0.4,1.3,2.4,"MIN",4702500
"178","Corey Brewer",2016,17875,61,"SF",29,"HOU",82,12,20.4,2.6,6.7,0.384,0.7,2.7,0.272,1.8,4,0.46,0.439,1.3,1.7,0.75,0.5,1.9,1.3,1,0.2,1,2,7.2,1669,9.9,0.481,0.406,0.254,2.8,10.4,10,2.5,0.9,11.3,17.8,0.1,1.2,1.2,0.035,-2.2,-1,-0.5,"HOU",7806971
"179","Cory Joseph",2016,18104,242,"SG",24,"TOR",80,4,25.6,3.2,7.3,0.439,0.4,1.4,0.273,2.8,5.9,0.478,0.465,1.7,2.2,0.764,0.5,2.1,3.1,0.8,0.3,1.3,1.6,8.5,2046,12.4,0.512,0.188,0.297,2.2,9.4,19.3,1.6,0.8,13.4,17,1.8,1.7,3.5,0.082,-0.6,-0.4,0.5,"TOR",7472500
"180","Courtney Lee",2013,16280,256,"SG",27,"BOS",78,39,24.9,3.2,6.8,0.464,0.7,2,0.372,2.4,4.8,0.503,0.519,0.8,0.9,0.861,0.4,2,1.8,1.1,0.3,1.1,1.8,7.8,1941,11.7,0.545,0.294,0.136,1.9,9.4,11.7,2.4,0.9,13,15.7,0.9,2.4,3.3,0.082,-1.1,0.8,0.8,"BOS",5337500
"181","Courtney Lee",2017,18704,258,"SG",31,"NYK",77,74,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.533,1.1,1.3,0.867,0.7,2.7,2.3,1.1,0.3,0.9,1.8,10.8,2459,12.2,0.559,0.382,0.139,2.3,9,10.6,1.6,0.8,8.5,14.4,3.1,1.1,4.2,0.081,0.6,-0.7,1.1,"NYK",12000835
"182","Craig Smith",2012,15863,392,"PF",28,"POR",47,0,9.9,1.3,2.5,0.504,0,0,0,1.3,2.5,0.509,0.504,0.8,1.1,0.717,0.7,1.6,0.4,0.3,0.1,0.5,1.2,3.3,464,13.6,0.556,0.009,0.453,8.1,19.8,6.6,1.8,0.8,14.6,16.2,0.6,0.4,1,0.105,-2.2,-0.4,-0.1,"POR",992680
"183","Cristiano Felicio",2018,19175,157,"C",25,"CHI",55,16,17.8,2.3,3.9,0.591,0,0,0,2.3,3.9,0.596,0.591,1,1.5,0.667,1.5,2.7,1,0.3,0.2,1,1.9,5.6,977,12.5,0.614,0.009,0.377,8.8,17.1,8.4,0.8,1,17.7,13.6,1.2,0.5,1.7,0.086,-2.3,-0.1,-0.1,"CHI",8000000
