"","player","i","X1","rk","pos","age","tm.x","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","tm.y","avg_salary"
"3988","Ryan Kelly",2017,18686,244,"PF",25,"ATL",16,0,6.9,0.5,1.8,0.286,0.3,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.4,0.833,0.1,1.1,0.5,0.3,0.3,0.3,0.3,1.6,110,7.8,0.408,0.357,0.214,1,16.7,10.2,1.8,3.9,11.5,13.7,-0.1,0.2,0.1,0.029,-6.2,2.3,-0.1,"ATL",286785
"3989","Salah Mejri",2016,18176,298,"C",29,"DAL",34,6,11.7,1.4,2.3,0.628,0,0,0,1.4,2.3,0.636,0.628,0.8,1.4,0.587,1.2,2.4,0.3,0.2,1.1,0.7,1.6,3.7,397,16.8,0.636,0.013,0.59,11.4,22.6,3.9,1,7.6,19,14,0.6,0.7,1.3,0.156,-2.6,3.7,0.3,"DAL",804825
"3990","Salah Mejri",2017,18753,299,"C",30,"DAL",73,11,12.4,1.2,1.9,0.642,0,0,0.333,1.2,1.8,0.649,0.646,0.5,0.8,0.59,1.3,2.9,0.2,0.4,0.8,0.5,2.1,2.9,905,14.8,0.65,0.022,0.445,11.9,28.4,2.4,1.8,6.1,19.6,10.6,1.3,1.7,3,0.159,-3.6,3.8,0.5,"DAL",804825
"3991","Salah Mejri",2018,19393,334,"C",31,"DAL",61,1,12,1.4,2.2,0.642,0,0,0,1.4,2.2,0.657,0.642,0.6,1.1,0.576,1.4,2.6,0.6,0.4,1.1,0.6,2,3.5,729,17.8,0.644,0.022,0.482,12.5,25.4,7.2,1.5,8.2,19,12.8,1.3,1.3,2.7,0.175,-2.2,5.3,0.9,"DAL",804825
"3992","Sam Dekker",2016,17934,112,"PF",21,"HOU",3,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0.3,0,0.3,0,0,0,0,6,10.8,NA,NA,NA,0,18.5,0,8.2,0,NA,0,0,0,0,0.116,-5.3,5.8,0,"HOU",1720520
"3993","Sam Dekker",2017,18515,104,"PF",22,"HOU",77,2,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.543,0.5,0.9,0.559,1.2,2.5,1,0.5,0.3,0.5,1.1,6.5,1419,13.1,0.549,0.436,0.159,7.2,14.6,7.7,1.3,1.2,8.2,14.9,1.9,1.2,3.1,0.104,-0.4,-0.6,0.3,"HOU",1720520
"3994","Sam Dekker",2018,19136,126,"PF",23,"LAC",73,1,12.1,1.8,3.5,0.494,0.1,0.8,0.167,1.6,2.7,0.593,0.514,0.5,0.8,0.661,0.6,1.8,0.5,0.3,0.1,0.5,1,4.2,883,11.5,0.534,0.232,0.216,5.6,16,6.2,1.3,0.9,10.4,15.5,0.6,0.6,1.2,0.066,-2.1,-1,-0.2,"LAC",1720520
"3995","Sam Young",2012,15968,477,"SF",26,"TOT",35,2,10.7,1.3,3.6,0.354,0.1,0.5,0.294,1.1,3.1,0.364,0.374,0.5,0.7,0.731,0.6,1.2,0.4,0.5,0.2,0.5,0.7,3.3,375,9.7,0.412,0.134,0.205,6,13.1,6.2,2.4,1.2,10.4,18.9,-0.3,0.6,0.2,0.03,-4.5,0,-0.2,"MEM",886000
"3996","Sam Young",2012,15970,477,"SF",26,"PHI",14,0,9.6,0.9,3.1,0.295,0.4,0.6,0.625,0.6,2.6,0.222,0.352,0.6,1,0.643,0.4,1.1,0.4,0.4,0.3,0.5,0.8,2.9,135,8.2,0.399,0.182,0.318,4.9,12.4,6.5,2.4,2.2,12.2,19.9,-0.2,0.2,0,0.01,-5.7,0.7,-0.1,"MEM",886000
"3997","Sam Young",2012,15969,477,"SF",26,"MEM",21,2,11.4,1.5,4,0.386,0,0.4,0,1.5,3.5,0.432,0.386,0.5,0.6,0.833,0.7,1.3,0.4,0.5,0.1,0.4,0.6,3.5,240,10.6,0.419,0.108,0.145,6.7,13.4,6,2.4,0.7,9.3,18.4,-0.1,0.3,0.2,0.042,-3.8,-0.4,-0.1,"MEM",886000
"3998","Sam Young",2013,16543,466,"SG",27,"IND",56,3,12.4,1,2.6,0.392,0.3,0.9,0.308,0.8,1.7,0.438,0.446,0.4,0.8,0.535,0.5,1.7,0.8,0.3,0.1,0.6,1.1,2.8,693,7.5,0.464,0.351,0.291,4.3,15.3,9.4,1.2,0.9,16.5,13.2,-0.2,1.1,0.9,0.062,-3.8,1,-0.1,"IND",416527
