fix,Tm,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
shawnmarion,DAL,PF,67,67,30.0,5.3,10.3,0.514,0.531,1.2,1.5,0.782,2.2,5.7,7.8,2.4,1.1,0.7,1.5,1.7,12.1,18.0,0.5529999999999999,0.146,8.2,20.6,14.5,13.1,1.9,1.8,12.3,19.0,2.9,2.5,5.3,0.127,0.9,1.9,2.8,2.4,8003842
kendallmarshall,PHO,PG,48,3,14.6,1.2,3.1,0.371,0.447,0.2,0.3,0.5710000000000001,0.1,0.8,0.9,3.0,0.5,0.1,1.2,1.0,3.0,7.8,0.455,0.09300000000000001,0.6,6.3,3.4,29.4,1.6,0.4,26.6,13.6,-0.4,0.2,-0.2,-0.012,-4.1,-3.2,-7.3,-0.9,731407
cartiermartin,WAS,SF,41,3,16.9,2.3,6.1,0.381,0.496,0.5,0.7,0.7140000000000001,0.3,2.2,2.4,0.5,0.5,0.1,0.8,1.4,6.6,9.7,0.511,0.111,1.7,14.3,8.0,4.8,1.4,0.7,10.8,19.5,-0.2,0.9,0.7,0.047,-2.2,-1.4,-3.6,-0.3,332402
kevinmartin,OKC,SG,77,0,27.7,4.5,10.1,0.45,0.551,2.8,3.2,0.89,0.4,1.9,2.3,1.4,0.9,0.1,1.3,1.8,14.0,16.0,0.608,0.316,1.8,7.4,4.8,7.9,1.7,0.3,10.2,21.0,5.0,2.0,7.0,0.157,2.7,-2.3,0.5,1.3,6938750
wesleymatthews,POR,SG,69,69,34.8,5.1,11.7,0.436,0.54,2.2,2.7,0.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,2.5,14.8,14.1,0.574,0.231,1.7,7.6,4.6,11.8,2.0,0.6,10.9,19.1,3.6,1.0,4.7,0.09300000000000001,2.3,-1.1,1.2,2.0,6505320
jasonmaxiell,DET,PF,72,71,24.8,2.8,6.3,0.446,0.446,1.3,2.0,0.621,1.9,3.8,5.7,0.8,0.4,1.3,1.1,2.4,6.9,11.3,0.478,0.317,8.5,18.0,13.2,4.7,0.9,4.2,13.5,15.3,0.1,1.7,1.8,0.047,-3.7,1.1,-2.6,-0.3,2500000
ojmayo,DAL,SG,82,82,35.5,5.6,12.5,0.449,0.519,2.3,2.8,0.82,0.4,3.1,3.5,4.4,1.1,0.3,2.6,2.4,15.3,13.9,0.556,0.22699999999999998,1.4,9.6,5.6,19.4,1.6,0.6,15.7,20.9,2.3,1.8,4.2,0.069,1.1,-0.7,0.4,1.7,8000000
javalemcgee,DEN,C,79,0,18.1,3.8,6.7,0.575,0.5760000000000001,1.4,2.4,0.591,2.0,2.8,4.8,0.3,0.4,2.0,1.1,2.3,9.1,20.7,0.589,0.353,12.6,17.1,14.9,2.7,1.1,8.5,12.9,21.1,2.7,2.2,4.9,0.163,-0.5,2.0,1.5,1.2,11000000
jodiemeeks,LAL,SG,78,10,21.3,2.6,6.8,0.387,0.502,1.1,1.2,0.8959999999999999,0.5,1.7,2.2,0.9,0.7,0.1,0.7,1.3,7.9,11.4,0.54,0.18100000000000002,2.5,8.7,5.7,6.4,1.8,0.2,8.3,16.7,1.9,1.1,3.0,0.085,0.6,-1.5,-0.9,0.5,1525000
khrismiddleton,DET,SG,27,0,17.6,2.3,5.2,0.44,0.489,1.0,1.2,0.8440000000000001,0.1,1.7,1.9,1.0,0.6,0.1,0.4,2.0,6.1,11.4,0.532,0.22699999999999998,1.0,11.4,6.1,9.5,1.7,0.7,6.6,15.9,0.6,0.3,0.9,0.08900000000000001,-0.9,-1.5,-2.3,0.0,725906
cjmiles,CLE,SF,65,13,21.0,3.9,9.4,0.415,0.518,1.4,1.6,0.8690000000000001,0.4,2.3,2.7,1.0,0.8,0.3,1.1,2.1,11.2,15.3,0.551,0.174,1.9,13.4,7.4,8.1,1.9,1.0,9.5,23.9,1.8,0.8,2.6,0.092,1.7,-2.8,-1.1,0.3,2225000
andremiller,DEN,PG,82,11,26.2,3.7,7.7,0.479,0.493,2.0,2.4,0.84,0.7,2.2,2.9,5.9,0.9,0.1,2.1,1.9,9.6,15.7,0.5479999999999999,0.307,3.2,9.1,6.2,32.2,1.7,0.4,19.3,17.9,3.9,1.5,5.4,0.12,0.9,-1.0,-0.1,1.0,4875000
dariusmiller,NOH,SF,52,2,13.3,0.8,2.1,0.40700000000000003,0.509,0.2,0.2,1.0,0.2,1.3,1.5,0.8,0.3,0.2,0.4,1.7,2.3,6.3,0.529,0.07400000000000001,1.3,12.2,6.7,9.3,1.3,1.4,17.1,9.0,0.2,0.3,0.5,0.034,-2.2,0.0,-2.2,0.0,631238
mikemiller,MIA,SF,59,17,15.3,1.7,3.9,0.433,0.591,0.1,0.2,0.727,0.3,2.4,2.7,1.7,0.4,0.1,0.6,1.1,4.8,13.5,0.596,0.048,2.6,18.0,10.7,16.2,1.2,0.4,12.9,14.4,1.6,1.0,2.6,0.13699999999999998,1.6,-1.0,0.6,0.6,1399507
paulmillsap,UTA,PF,78,78,30.4,5.5,11.2,0.49,0.498,3.4,4.6,0.742,2.3,4.8,7.1,2.6,1.3,1.0,1.8,3.0,14.6,19.8,0.55,0.40700000000000003,8.6,18.8,13.7,14.5,2.3,2.7,11.8,22.4,4.8,2.9,7.6,0.154,1.8,2.0,3.8,3.5,9500000
nazrmohammed,CHI,C,63,12,11.0,1.0,2.9,0.36700000000000005,0.36700000000000005,0.5,0.7,0.723,1.2,1.9,3.1,0.4,0.3,0.5,0.4,1.5,2.6,10.8,0.414,0.261,12.0,20.4,16.2,5.8,1.6,3.5,10.7,14.9,0.0,1.2,1.2,0.08199999999999999,-4.6,1.8,-2.8,-0.1,1399507
gregmonroe,DET,C,81,81,33.2,6.3,13.1,0.486,0.486,3.3,4.8,0.6890000000000001,2.9,6.7,9.6,3.5,1.3,0.7,2.9,2.3,16.0,19.5,0.527,0.371,9.9,23.6,16.7,18.6,2.1,1.6,16.0,24.8,2.7,3.2,5.9,0.105,0.6,1.8,2.4,3.0,3277524
etwaunmoore,ORL,SG,75,21,22.4,3.2,8.0,0.396,0.452,0.6,0.8,0.797,0.6,1.6,2.2,2.7,0.7,0.3,1.4,1.6,7.8,10.7,0.47100000000000003,0.099,3.2,8.0,5.6,19.1,1.6,1.1,14.4,19.7,-0.4,0.7,0.2,0.006,-1.8,-1.4,-3.2,-0.5,823244
dariusmorris,LAL,PG,48,17,14.2,1.5,3.9,0.38799999999999996,0.452,0.5,0.8,0.649,0.5,0.7,1.2,1.6,0.4,0.0,0.9,1.2,4.0,8.1,0.475,0.19699999999999998,4.0,5.2,4.6,16.8,1.6,0.2,18.1,16.2,-0.1,0.3,0.2,0.016,-2.6,-1.7,-4.3,-0.4,5202
markieffmorris,PHO,PF,82,32,22.4,3.2,8.0,0.40700000000000003,0.442,1.1,1.5,0.732,1.6,3.2,4.8,1.3,0.9,0.8,1.3,2.5,8.2,12.6,0.473,0.19399999999999998,7.9,16.7,12.3,9.4,2.2,2.6,12.8,19.7,-0.2,1.9,1.7,0.044000000000000004,-2.1,1.1,-1.0,0.5,2251450
donatasmotiejunas,HOU,PF,44,14,12.2,2.2,4.8,0.455,0.512,0.7,1.2,0.627,0.8,1.3,2.1,0.7,0.2,0.2,0.8,1.7,5.7,12.2,0.531,0.239,7.7,11.9,9.8,9.5,0.6,1.4,13.6,22.1,0.4,0.3,0.7,0.061,-0.7,-2.2,-2.9,-0.1,1639061
arnettmoultrie,PHI,PF,47,0,11.5,1.7,2.9,0.5820000000000001,0.5820000000000001,0.4,0.6,0.643,1.6,1.5,3.1,0.2,0.4,0.2,0.4,0.9,3.7,16.7,0.595,0.209,15.4,14.8,15.1,2.9,1.7,1.4,11.5,14.1,1.1,0.6,1.7,0.149,-0.7,-0.9,-1.7,0.0,1089240
timofeymozgov,DEN,C,41,1,8.9,1.1,2.1,0.506,0.506,0.5,0.6,0.769,1.2,1.4,2.6,0.2,0.1,0.4,0.6,1.4,2.6,12.3,0.5489999999999999,0.299,15.6,17.1,16.4,3.4,0.8,3.8,20.3,14.6,0.3,0.4,0.7,0.096,-1.9,0.2,-1.6,0.0,4666667
stevenash,LAL,PG,50,50,32.5,4.7,9.5,0.49700000000000005,0.557,2.1,2.3,0.922,0.5,2.3,2.8,6.7,0.6,0.1,2.5,1.4,12.7,16.0,0.605,0.244,1.8,7.7,4.8,32.8,0.9,0.2,19.3,17.8,3.7,0.6,4.3,0.127,1.5,-2.6,-1.1,0.4,9300500
garyneal,SAS,SG,68,17,21.8,3.6,8.8,0.41200000000000003,0.48700000000000004,0.9,1.1,0.865,0.2,1.9,2.1,1.9,0.4,0.0,1.0,1.4,9.5,11.5,0.512,0.124,1.1,9.6,5.6,13.5,1.0,0.1,9.9,21.7,0.4,1.5,1.9,0.06,-0.8,-1.8,-2.6,-0.2,3250000
jameernelson,ORL,PG,56,56,35.3,5.5,13.9,0.392,0.47,1.6,1.8,0.873,0.4,3.3,3.7,7.4,1.3,0.1,2.8,2.9,14.7,14.4,0.498,0.131,1.3,10.6,6.0,33.3,1.9,0.2,15.7,22.5,1.1,1.0,2.1,0.05,1.6,-1.7,-0.1,0.9,8400000
andrewnicholson,ORL,PF,75,28,16.7,3.4,6.5,0.527,0.527,1.0,1.3,0.7979999999999999,0.9,2.5,3.4,0.6,0.3,0.4,1.1,1.8,7.8,15.1,0.557,0.193,6.2,17.1,11.7,6.1,1.0,2.0,13.0,22.1,0.9,0.8,1.7,0.065,-2.8,-1.6,-4.4,-0.8,1706648
joakimnoah,CHI,C,66,64,36.8,4.6,9.5,0.48100000000000004,0.48100000000000004,2.7,3.6,0.7509999999999999,3.9,7.2,11.1,4.0,1.2,2.1,2.7,2.8,11.9,18.1,0.534,0.376,12.2,22.6,17.3,17.6,1.7,4.4,19.3,17.2,2.7,4.7,7.3,0.145,0.1,5.1,5.2,4.4,12000000
stevenovak,NYK,SF,81,1,20.3,2.2,5.3,0.414,0.5870000000000001,0.4,0.4,0.909,0.2,1.7,1.9,0.4,0.3,0.1,0.1,1.2,6.6,11.3,0.602,0.077,1.2,10.0,5.4,3.3,0.9,0.4,2.6,13.0,3.2,0.8,4.0,0.11599999999999999,2.0,-2.0,0.0,0.8,3750001
dirknowitzki,DAL,PF,53,47,31.3,6.5,13.7,0.47100000000000003,0.516,3.1,3.6,0.86,0.7,6.2,6.8,2.5,0.7,0.7,1.3,1.8,17.3,19.8,0.564,0.265,2.5,21.5,12.2,13.5,1.2,1.7,7.9,24.2,3.3,1.8,5.0,0.145,1.7,0.0,1.7,1.5,20000000
jermaineoneal,PHO,C,55,4,18.7,3.3,6.7,0.48200000000000004,0.48200000000000004,1.7,2.1,0.835,1.5,3.8,5.3,0.8,0.3,1.4,1.3,2.3,8.3,16.7,0.5379999999999999,0.31,8.9,23.8,16.2,6.8,0.9,5.7,14.8,21.4,0.7,1.3,2.0,0.092,-3.3,1.3,-2.0,0.0,2000000
kyleoquinn,ORL,C,57,5,11.2,1.8,3.5,0.513,0.513,0.5,0.8,0.667,1.1,2.5,3.7,0.9,0.2,0.5,0.6,1.9,4.1,15.8,0.535,0.228,11.5,25.5,18.5,13.1,0.9,3.1,14.6,18.1,0.7,0.7,1.4,0.107,-1.9,1.0,-0.9,0.2,830996
lamarodom,LAC,PF,82,2,19.7,1.8,4.5,0.39899999999999997,0.423,0.2,0.5,0.47600000000000003,1.4,4.4,5.9,1.7,0.8,0.7,1.0,2.6,4.0,10.9,0.429,0.115,8.8,26.3,17.7,12.4,2.2,3.0,18.3,13.3,-0.3,3.0,2.7,0.081,-2.6,3.8,1.2,1.3,728361
emekaokafor,WAS,C,79,77,26.0,4.2,8.7,0.47700000000000004,0.47700000000000004,1.4,2.4,0.5710000000000001,2.5,6.2,8.8,1.2,0.6,1.0,1.4,1.8,9.7,15.8,0.496,0.278,10.7,26.8,18.7,7.9,1.1,3.0,12.2,19.5,0.7,3.7,4.5,0.10400000000000001,-3.2,2.0,-1.1,0.5,12000000
travisoutlaw,SAC,SF,38,2,11.7,1.9,4.7,0.418,0.45799999999999996,1.0,1.4,0.731,0.4,1.2,1.6,0.6,0.3,0.2,0.5,0.9,5.3,13.0,0.5,0.294,4.3,11.7,7.9,7.7,1.3,1.4,8.7,21.9,0.3,0.1,0.3,0.037000000000000005,-1.5,-3.2,-4.7,-0.3,3000000
zazapachulia,ATL,C,52,15,21.8,2.2,4.6,0.473,0.473,1.5,2.0,0.757,2.5,3.9,6.5,1.5,0.7,0.2,1.3,2.5,5.9,13.1,0.534,0.42700000000000005,13.5,20.3,17.0,10.3,1.6,0.8,19.6,14.6,1.2,1.5,2.7,0.11599999999999999,-1.6,1.6,0.0,0.6,5200000
tonyparker,SAS,PG,66,66,32.9,7.9,15.1,0.522,0.534,4.2,5.0,0.845,0.3,2.7,3.0,7.6,0.8,0.1,2.6,1.4,20.3,23.0,0.588,0.332,1.0,9.1,5.3,40.4,1.3,0.2,13.0,27.7,7.1,2.3,9.3,0.20600000000000002,4.1,-1.4,2.7,2.6,12500000
chandlerparsons,HOU,SF,76,76,36.3,6.0,12.4,0.486,0.5670000000000001,1.5,2.0,0.7290000000000001,1.0,4.3,5.3,3.5,1.0,0.4,1.9,1.9,15.5,15.3,0.584,0.165,3.3,13.2,8.3,15.6,1.4,0.9,12.7,18.3,4.9,2.1,7.0,0.121,2.4,0.4,2.7,3.3,832965
chrispaul,LAC,PG,70,70,33.4,5.9,12.2,0.48100000000000004,0.526,4.1,4.6,0.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9,26.4,0.594,0.377,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,10.6,3.4,13.9,0.287,7.2,0.3,7.5,5.6,21468695
nikolapekovic,MIN,C,62,62,31.6,6.2,12.0,0.52,0.52,3.9,5.2,0.7440000000000001,3.7,5.1,8.8,0.9,0.7,0.8,1.6,2.3,16.3,20.2,0.5720000000000001,0.43700000000000006,13.0,19.0,15.9,4.9,1.1,2.0,10.3,22.5,4.6,2.1,6.7,0.163,0.8,-0.5,0.3,1.2,12000000
kendrickperkins,OKC,C,78,78,25.1,1.8,4.0,0.457,0.457,0.6,0.9,0.611,1.4,4.6,6.0,1.4,0.6,1.1,1.4,2.9,4.2,8.2,0.479,0.23,7.0,19.5,13.7,7.9,1.1,3.2,24.0,10.6,-0.5,3.0,2.5,0.062,-3.3,2.9,-0.4,0.8,7850531
paulpierce,BOS,SF,77,77,33.4,6.2,14.2,0.436,0.502,4.3,5.5,0.787,0.6,5.7,6.3,4.8,1.1,0.4,2.8,2.7,18.6,19.1,0.5589999999999999,0.387,2.1,19.7,11.2,25.1,1.7,0.9,14.3,27.4,3.5,3.7,7.2,0.135,2.7,0.7,3.4,3.4,15333334
quincypondexter,MEM,SF,59,1,21.1,2.2,5.1,0.428,0.528,1.0,1.3,0.787,0.7,1.5,2.2,1.0,0.6,0.1,0.7,1.6,6.4,11.0,0.565,0.251,4.0,8.6,6.3,7.6,1.5,0.4,11.2,13.9,1.7,1.5,3.2,0.125,0.5,0.1,0.6,0.8,1421720
ronnieprice,POR,PG,39,0,13.1,1.0,3.1,0.325,0.36700000000000005,0.4,0.6,0.708,0.3,0.8,1.1,1.9,0.7,0.1,0.9,1.6,2.7,6.8,0.402,0.2,2.9,7.2,5.0,21.0,2.7,0.4,20.7,14.8,-0.5,0.3,-0.2,-0.017,-4.1,-0.7,-4.8,-0.4,1291393
pabloprigioni,NYK,PG,78,18,16.2,1.3,2.8,0.455,0.575,0.3,0.3,0.88,0.5,1.3,1.8,3.0,0.9,0.0,1.1,1.6,3.5,13.0,0.595,0.114,3.7,9.8,6.6,27.5,2.9,0.1,27.1,11.7,2.0,1.3,3.2,0.12300000000000001,0.7,-0.1,0.6,0.8,1662961
anthonyrandolph,DEN,PF,39,0,8.4,1.4,2.9,0.491,0.491,0.8,1.2,0.6890000000000001,0.7,1.7,2.4,0.3,0.5,0.5,0.9,1.1,3.7,15.6,0.534,0.395,10.1,22.1,16.2,5.5,2.9,5.0,21.7,22.5,-0.1,0.6,0.5,0.073,-3.8,2.3,-1.5,0.0,1750000
zachrandolph,MEM,PF,76,75,34.3,6.2,13.5,0.46,0.461,3.0,3.9,0.75,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,15.4,17.9,0.506,0.293,13.8,25.1,19.3,7.3,1.3,1.0,11.5,23.1,3.2,4.7,7.9,0.145,-0.5,0.7,0.2,1.4,16500000
jasonrichardson,PHI,SG,33,33,28.4,4.1,10.2,0.402,0.48700000000000004,0.6,1.0,0.606,0.6,3.3,3.8,1.5,1.2,0.5,0.8,1.7,10.5,12.6,0.495,0.098,2.2,13.4,7.7,8.6,2.3,1.2,6.9,18.5,0.3,1.1,1.4,0.07,-0.5,-0.1,-0.6,0.3,6000000
lukeridnour,MIN,SG,82,82,30.2,4.5,9.9,0.45299999999999996,0.493,1.7,2.0,0.848,0.5,2.0,2.5,3.8,1.0,0.2,1.6,2.3,11.5,13.0,0.532,0.20199999999999999,1.8,7.9,4.8,21.0,1.7,0.5,12.8,18.3,2.6,1.8,4.3,0.084,0.3,-0.7,-0.4,1.0,4000000
austinrivers,NOH,SG,61,26,23.2,2.4,6.4,0.37200000000000005,0.408,1.0,1.8,0.546,0.3,1.5,1.8,2.1,0.4,0.1,1.2,2.0,6.2,5.9,0.431,0.27699999999999997,1.3,8.0,4.6,13.9,1.0,0.5,14.5,16.8,-1.2,0.1,-1.1,-0.038,-3.6,-2.0,-5.6,-1.3,2339080
brianroberts,NOH,PG,78,5,17.0,2.7,6.6,0.41700000000000004,0.475,0.9,1.0,0.909,0.2,1.0,1.2,2.8,0.5,0.0,0.9,1.4,7.1,14.6,0.509,0.151,1.5,7.3,4.4,28.2,1.5,0.2,11.5,21.6,2.0,0.2,2.2,0.078,1.1,-3.6,-2.5,-0.2,631238
naterobinson,CHI,PG,82,23,25.4,4.9,11.2,0.433,0.51,1.6,2.1,0.799,0.4,1.9,2.2,4.4,1.0,0.1,1.8,2.5,13.1,17.4,0.54,0.183,1.6,8.6,5.1,31.4,2.2,0.4,12.6,25.1,3.5,2.4,5.9,0.136,3.3,-1.6,1.7,1.9,2061360
rajonrondo,BOS,PG,38,38,37.4,5.9,12.2,0.484,0.49700000000000005,1.6,2.4,0.645,1.1,4.4,5.6,11.1,1.8,0.2,3.9,2.5,13.7,18.1,0.516,0.2,3.7,13.6,8.8,49.3,2.6,0.5,22.6,21.7,1.2,2.0,3.2,0.10800000000000001,1.1,0.7,1.8,1.3,11000000
terrenceross,TOR,SG,73,2,17.0,2.5,6.3,0.40700000000000003,0.478,0.4,0.6,0.7140000000000001,0.5,1.5,2.0,0.7,0.6,0.2,0.7,1.7,6.4,10.4,0.491,0.092,3.3,10.6,6.9,7.2,1.8,0.9,9.2,19.6,0.0,0.8,0.9,0.034,-1.3,-1.7,-2.9,-0.3,2897459
rickyrubio,MIN,PG,57,47,29.7,3.2,9.0,0.36,0.386,3.7,4.6,0.799,0.8,3.2,4.0,7.3,2.4,0.1,3.0,2.5,10.7,16.2,0.48200000000000004,0.514,2.9,12.9,7.7,38.8,4.2,0.2,21.4,21.2,0.4,2.6,3.0,0.085,0.0,1.8,1.8,1.6,3836364
robertsacre,LAL,C,32,3,6.3,0.6,1.5,0.375,0.375,0.2,0.3,0.636,0.3,0.8,1.1,0.2,0.0,0.3,0.3,1.2,1.3,3.4,0.40700000000000003,0.22899999999999998,5.0,13.2,9.2,4.3,0.0,3.6,15.9,13.8,-0.2,0.1,-0.1,-0.024,-7.3,-0.2,-7.5,-0.3,895154
johnsalmons,SAC,SF,76,72,30.0,3.2,8.1,0.39899999999999997,0.48,1.1,1.4,0.773,0.4,2.3,2.7,3.0,0.7,0.3,1.1,1.9,8.8,10.2,0.509,0.18,1.6,9.0,5.2,14.8,1.1,0.9,11.4,14.5,1.8,-0.1,1.6,0.034,-0.2,-1.7,-1.8,0.1,7833200
larrysanders,MIL,C,71,55,27.3,4.3,8.5,0.506,0.506,1.2,1.9,0.618,3.2,6.3,9.5,1.2,0.7,2.8,1.2,3.3,9.8,18.7,0.523,0.225,12.0,25.8,18.6,6.8,1.4,7.6,11.6,16.9,2.3,3.7,6.0,0.149,-1.8,4.3,2.5,2.2,2159752
luisscola,PHO,PF,82,67,26.6,5.3,11.2,0.47200000000000003,0.474,2.2,2.8,0.787,1.9,4.7,6.6,2.2,0.8,0.4,1.5,3.1,12.8,16.7,0.516,0.251,8.1,20.4,14.1,14.5,1.6,1.2,11.0,23.3,2.4,1.9,4.4,0.096,-0.3,0.2,-0.1,1.1,5724622
mikescott,ATL,PF,40,1,9.4,1.8,3.7,0.47600000000000003,0.47600000000000003,1.1,1.4,0.768,1.0,1.8,2.8,0.3,0.1,0.1,0.5,0.8,4.6,16.3,0.5329999999999999,0.381,12.1,21.3,16.7,5.4,0.6,0.4,10.9,23.7,0.5,0.4,0.9,0.11,-3.2,-3.2,-6.4,-0.4,631238
thabosefolosha,OKC,SG,81,81,27.5,2.8,5.8,0.48100000000000004,0.597,0.7,0.9,0.826,0.7,3.2,3.9,1.5,1.3,0.5,0.8,2.2,7.6,12.8,0.617,0.14800000000000002,3.2,12.4,8.2,8.2,2.4,1.5,11.4,11.4,3.6,3.1,6.8,0.146,1.9,1.6,3.5,3.1,3512500
kevinseraphin,WAS,C,79,8,21.8,4.2,9.1,0.461,0.461,0.8,1.1,0.693,1.4,3.0,4.4,0.7,0.3,0.7,1.6,2.7,9.1,10.3,0.478,0.12300000000000001,6.8,15.5,11.1,6.1,0.7,2.7,14.7,23.5,-2.1,2.2,0.1,0.004,-5.6,-0.1,-5.7,-1.6,1950549
ramonsessions,CHA,SG,61,0,27.1,4.5,11.1,0.408,0.433,4.8,5.7,0.8390000000000001,0.4,2.3,2.8,3.8,0.8,0.1,1.7,1.5,14.4,17.7,0.529,0.513,1.8,10.1,5.9,25.5,1.5,0.3,11.2,25.7,2.9,0.0,2.9,0.084,1.4,-3.5,-2.1,0.0,5000000
imanshumpert,NYK,SG,45,45,22.1,2.4,6.1,0.396,0.489,0.8,1.0,0.7659999999999999,0.7,2.3,3.0,1.7,1.0,0.2,0.8,2.2,6.8,11.7,0.516,0.171,3.5,12.8,8.0,11.6,2.3,0.6,11.1,15.6,1.0,1.0,1.9,0.094,0.2,0.4,0.6,0.7,1879324
alexeyshved,MIN,SG,77,16,23.9,3.1,8.2,0.37200000000000005,0.439,1.4,1.9,0.72,0.5,1.7,2.3,3.7,0.7,0.4,1.9,1.5,8.6,11.0,0.474,0.23600000000000002,2.5,8.6,5.4,25.2,1.5,1.1,17.3,20.6,-0.6,1.4,0.8,0.02,-1.0,-1.1,-2.1,-0.1,3150000
kylesingler,DET,SF,82,74,28.0,3.4,7.8,0.428,0.483,1.2,1.5,0.8059999999999999,1.3,2.7,4.0,0.9,0.7,0.5,1.2,2.6,8.8,10.0,0.517,0.193,5.4,11.3,8.3,5.3,1.3,1.3,12.3,15.8,1.1,1.2,2.3,0.048,-1.2,-0.7,-1.9,0.1,1045000
chrissingleton,WAS,PF,57,11,16.2,1.6,4.2,0.382,0.396,0.7,1.2,0.5710000000000001,0.9,2.3,3.2,0.6,0.7,0.4,0.8,2.2,4.1,7.8,0.425,0.29,6.1,16.1,11.0,6.3,2.1,2.1,14.2,15.7,-1.0,1.5,0.5,0.027999999999999997,-5.2,1.9,-3.3,-0.3,1551840
gregsmith,HOU,C,70,10,15.9,2.4,3.9,0.62,0.62,1.2,1.9,0.623,1.6,3.0,4.6,0.4,0.3,0.6,0.6,2.5,6.0,16.1,0.636,0.474,11.5,21.2,16.4,3.5,0.8,2.7,11.0,14.7,2.8,1.2,4.0,0.172,-0.4,-0.1,-0.5,0.4,481884
jrsmith,NYK,SG,80,0,33.5,6.6,15.6,0.42200000000000004,0.484,3.0,3.9,0.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,18.1,17.6,0.522,0.249,2.7,16.3,9.3,14.5,2.0,0.8,8.8,26.5,4.0,2.7,6.7,0.12,1.8,-0.5,1.3,2.2,5982375
jasonsmith,NOH,C,51,0,17.2,3.3,6.7,0.49,0.49,1.7,2.0,0.843,1.3,2.4,3.6,0.7,0.3,0.9,1.1,2.4,8.2,16.8,0.544,0.299,8.6,16.9,12.7,7.0,0.9,4.3,12.5,23.4,1.1,0.6,1.7,0.095,-1.5,-0.6,-2.1,0.0,2500000
joshsmith,ATL,PF,76,76,35.3,7.2,15.6,0.465,0.491,2.2,4.2,0.517,1.8,6.7,8.4,4.2,1.2,1.8,3.0,2.3,17.5,17.7,0.501,0.272,5.8,21.3,13.6,20.9,1.8,3.9,14.6,26.7,-0.3,4.5,4.2,0.075,-1.0,3.2,2.1,2.8,13500000
tiagosplitter,SAS,PF,81,58,24.7,3.9,7.0,0.56,0.56,2.6,3.5,0.73,1.8,4.6,6.4,1.6,0.8,0.8,1.2,2.0,10.3,18.7,0.609,0.506,8.8,20.3,14.9,10.0,1.6,2.3,12.7,18.2,4.7,3.5,8.2,0.19699999999999998,0.6,2.4,2.9,2.5,9000000
lancestephenson,IND,SG,78,72,29.2,3.5,7.7,0.46,0.512,1.0,1.5,0.652,0.6,3.3,3.9,2.9,1.0,0.2,1.4,2.1,8.8,11.8,0.53,0.192,2.3,12.3,7.4,16.2,1.9,0.5,14.4,15.2,1.8,3.6,5.5,0.115,-0.6,1.6,0.9,1.7,837500
amarestoudemire,NYK,PF,29,0,23.5,5.3,9.2,0.5770000000000001,0.5770000000000001,3.6,4.5,0.8079999999999999,2.1,2.9,5.0,0.4,0.3,0.7,1.7,3.1,14.2,22.1,0.637,0.48700000000000004,10.0,15.1,12.4,3.6,0.8,2.7,13.4,25.7,2.1,0.6,2.7,0.191,0.6,-2.0,-1.4,0.1,19948799
rodneystuckey,DET,SG,76,24,28.6,4.0,9.8,0.406,0.44299999999999995,2.8,3.6,0.7829999999999999,0.6,2.2,2.8,3.6,0.7,0.2,1.8,1.7,11.5,13.0,0.505,0.364,2.2,9.1,5.6,20.3,1.2,0.6,13.4,21.0,1.7,0.8,2.5,0.055,-0.5,-2.0,-2.5,-0.3,8500000
jaredsullinger,BOS,PF,45,5,19.8,2.5,5.0,0.493,0.496,1.0,1.4,0.746,2.0,3.8,5.9,0.8,0.5,0.5,0.6,3.4,6.0,13.5,0.534,0.28,12.6,22.1,17.5,6.2,1.3,1.9,10.3,14.9,1.3,1.4,2.7,0.146,-1.6,0.9,-0.6,0.3,1591605
jeffteague,ATL,PG,80,78,32.9,5.5,12.2,0.451,0.496,2.5,2.8,0.8809999999999999,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,14.6,16.8,0.5429999999999999,0.23199999999999998,1.1,6.7,3.9,36.1,2.3,0.8,17.6,23.0,3.5,2.6,6.1,0.111,0.8,-1.5,-0.7,0.8,8000000
marquisteague,CHI,PG,48,0,8.2,0.9,2.4,0.381,0.39799999999999996,0.2,0.3,0.563,0.1,0.9,0.9,1.3,0.2,0.1,0.7,1.0,2.1,6.0,0.41200000000000003,0.142,0.9,12.1,6.4,25.6,1.2,1.3,22.6,18.2,-0.7,0.4,-0.3,-0.031,-6.3,-1.0,-7.3,-0.5,1017547
mirzateletovic,BRK,PF,53,0,9.4,1.3,3.5,0.384,0.484,0.2,0.2,0.818,0.6,1.2,1.8,0.4,0.2,0.2,0.4,1.0,3.5,12.3,0.495,0.059000000000000004,7.8,14.8,11.2,7.7,1.4,1.2,9.5,19.4,0.5,0.5,0.9,0.087,0.4,-1.6,-1.1,0.1,3229050
