fix,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
ryananderson,PF,72,72,29.4,4.5,10.7,0.418,0.55,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6,0.583,0.19399999999999998,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,0.11699999999999999,1.8,-2.6,-0.8,0.6,20000000
giannisantetokounmpo,SF,80,80,35.6,8.2,15.7,0.521,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,0.599,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.1,3.5,7.6,6.9,2871714
carmeloanthony,SF,74,74,34.3,8.1,18.8,0.433,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,0.535,0.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,0.08900000000000001,1.5,-2.2,-0.7,0.8,24812936
trevorariza,SF,80,80,34.7,4.1,10.0,0.409,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,0.5479999999999999,0.158,2.1,15.9,9.0,8.8,2.5,0.6,7.9,14.1,2.8,3.2,6.0,0.10400000000000001,0.7,1.0,1.7,2.6,8000001
darrellarthur,PF,41,7,15.6,2.3,5.2,0.442,0.565,0.5,0.5,0.8640000000000001,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4,0.583,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,0.081,0.3,-0.6,-0.3,0.3,7666667
djaugustin,PG,78,20,19.7,2.5,6.6,0.377,0.469,1.7,2.1,0.8140000000000001,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9,0.524,0.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,0.7,0.5,1.2,0.038,-0.9,-3.3,-4.2,-0.9,7250000
lukebabbitt,SF,68,55,15.7,1.7,4.1,0.402,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8,0.563,0.053,1.2,13.5,7.3,4.8,0.9,0.8,8.0,13.0,0.8,1.0,1.8,0.081,-1.1,-0.9,-1.9,0.0,1163944
ronbaker,SG,52,13,16.5,1.6,4.2,0.37799999999999995,0.431,0.5,0.8,0.6509999999999999,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,0.456,0.198,1.5,10.8,6.2,17.3,2.0,0.8,19.2,14.8,-0.6,0.5,-0.1,-0.008,-3.5,-0.9,-4.4,-0.5,543471
wadebaldwin,PG,33,1,12.3,1.1,3.5,0.313,0.326,0.9,1.1,0.838,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,3.2,0.40399999999999997,0.322,3.0,10.2,6.5,22.8,2.3,1.7,22.9,19.1,-0.8,0.5,-0.3,-0.040999999999999995,-6.2,0.5,-5.7,-0.4,1834080
leandrobarbosa,SG,67,0,14.4,2.6,5.9,0.439,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,0.509,0.115,1.6,10.3,5.9,13.0,1.5,0.7,10.4,20.0,0.3,0.4,0.6,0.031,-2.0,-2.1,-4.1,-0.5,4000000
harrisonbarnes,PF,79,79,35.5,7.6,16.2,0.46799999999999997,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2,0.541,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,4.6,0.078,-0.7,-1.2,-1.9,0.1,23609631
willbarton,SG,60,19,28.4,4.9,11.1,0.44299999999999995,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,0.547,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,3.3,0.09300000000000001,1.3,-1.0,0.3,1.0,3533333
brandonbass,PF,52,0,11.1,2.1,3.6,0.575,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6,0.65,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,1.6,0.6,2.2,0.18600000000000003,0.1,-0.8,-0.7,0.2,1551659
nicolasbatum,SG,77,77,34.0,5.1,12.7,0.40299999999999997,0.47200000000000003,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1,0.529,0.29100000000000004,1.9,18.4,10.1,27.7,1.6,1.0,15.0,22.3,1.7,2.8,4.6,0.084,0.7,0.6,1.2,2.1,24000000
aronbaynes,C,75,2,15.5,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,4.9,0.57,0.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,3.0,0.12300000000000001,-2.9,1.1,-1.8,0.1,6500000
kentbazemore,SF,73,64,26.9,4.0,9.9,0.409,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11.0,0.504,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,0.052000000000000005,-2.0,1.2,-0.8,0.6,17500000
bradleybeal,SG,77,77,34.9,8.3,17.2,0.48200000000000004,0.5660000000000001,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,0.604,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,6.9,1.6,8.5,0.152,4.5,-2.3,2.2,2.8,25434263
michaelbeasley,PF,56,6,16.7,3.9,7.3,0.532,0.5539999999999999,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,0.584,0.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3,0.8,1.0,1.8,0.092,-1.7,-1.1,-2.9,-0.2,855069
marcobelinelli,SG,74,0,24.0,3.6,8.3,0.429,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,0.5660000000000001,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2.0,1.2,3.2,0.087,0.1,-2.0,-1.9,0.1,6333333
deandrebembry,SF,38,1,9.8,1.2,2.6,0.48,0.485,0.2,0.4,0.375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,0.48100000000000004,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,0.038,-4.4,0.1,-4.3,-0.2,1533480
draganbender,PF,43,0,13.3,1.3,3.7,0.354,0.441,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,0.44,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.028999999999999998,-4.0,-0.3,-4.3,-0.3,4372560
davisbertans,PF,67,6,12.1,1.5,3.5,0.44,0.588,0.4,0.5,0.8240000000000001,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5,0.609,0.145,3.2,10.4,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,0.135,1.2,0.6,1.8,0.8,724360
patrickbeverley,SG,67,67,30.7,3.4,8.1,0.42,0.521,1.1,1.4,0.768,1.4,4.4,5.9,4.2,1.5,0.4,1.5,3.3,9.5,0.546,0.175,5.0,15.8,10.4,18.8,2.3,1.0,14.6,14.1,2.9,2.4,5.3,0.12300000000000001,0.8,1.5,2.3,2.3,5756757
bismackbiyombo,C,81,27,22.1,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,0.546,0.69,9.3,25.6,17.2,6.0,0.7,4.1,17.7,13.2,0.8,2.1,2.9,0.077,-4.2,2.0,-2.2,-0.1,18000000
nemanjabjelica,PF,65,1,18.3,2.3,5.5,0.424,0.503,0.7,0.9,0.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2,0.526,0.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4,0.6,0.9,1.5,0.059000000000000004,-0.7,-0.4,-1.1,0.3,3900000
tarikblack,C,67,16,16.3,2.2,4.4,0.51,0.512,1.2,1.6,0.752,2.1,3.0,5.1,0.6,0.4,0.7,0.9,2.6,5.7,0.56,0.371,13.9,20.7,17.2,5.3,1.3,3.3,14.5,15.7,1.5,0.8,2.4,0.105,-1.8,0.2,-1.6,0.1,6423163
ericbledsoe,PG,66,66,33.0,6.8,15.7,0.434,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,0.563,0.44299999999999995,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,4.0,1.4,5.3,0.11800000000000001,3.7,-0.4,3.3,2.9,14000000
devinbooker,SG,78,78,35.0,7.8,18.3,0.423,0.475,4.7,5.7,0.8320000000000001,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,0.531,0.308,1.8,8.3,5.0,16.3,1.3,0.6,12.9,28.6,1.3,0.6,2.0,0.035,0.4,-2.7,-2.3,-0.2,2223600
averybradley,SG,55,55,33.4,6.5,14.1,0.46299999999999997,0.5329999999999999,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3,0.5479999999999999,0.12,4.0,16.2,10.1,11.0,1.8,0.5,9.7,21.9,1.1,2.0,3.1,0.081,-0.2,-0.4,-0.5,0.7,8000000
malcolmbrogdon,SG,75,28,26.4,3.9,8.5,0.457,0.518,1.5,1.7,0.865,0.6,2.2,2.8,4.2,1.1,0.2,1.5,1.9,10.2,0.555,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.6,-1.1,-0.5,0.8,976837
aaronbrooks,PG,65,0,13.8,1.9,4.6,0.40299999999999997,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1.0,1.4,5.0,0.507,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.1,-2.5,-4.6,-0.6,2700000
jaylenbrown,SF,78,20,17.2,2.5,5.4,0.45399999999999996,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,0.539,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4.0,-0.7,4849740
nicolasbrussino,SF,54,2,9.6,1.0,2.6,0.369,0.47200000000000003,0.3,0.4,0.773,0.5,1.3,1.8,0.9,0.3,0.1,0.5,0.8,2.8,0.498,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16.0,0.0,0.6,0.6,0.055,-1.7,0.7,-1.0,0.1,832994
reggiebullock,SF,31,5,15.1,1.7,4.1,0.42200000000000004,0.531,0.2,0.2,0.7140000000000001,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,0.5379999999999999,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,1.0,0.10099999999999999,-0.4,0.5,0.1,0.2,1464451
treyburke,PG,57,0,12.3,2.0,4.5,0.455,0.516,0.4,0.5,0.759,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5.0,0.532,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.5,0.036000000000000004,-2.3,-3.4,-5.7,-0.7,2758040
alecburks,SG,42,0,15.5,2.4,5.9,0.39899999999999997,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,0.501,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11.0,22.7,-0.1,0.9,0.8,0.055999999999999994,-3.3,-0.9,-4.2,-0.4,10500000
jimmybutler,SF,76,75,37.0,7.5,16.5,0.455,0.49200000000000005,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,0.586,0.54,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,0.23600000000000002,5.8,1.1,6.9,6.3,18467976
kentaviouscaldwellpope,SG,76,75,33.3,4.9,12.2,0.39899999999999997,0.48100000000000004,2.0,2.4,0.8320000000000001,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,13.8,0.519,0.19899999999999998,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2.0,2.5,4.5,0.086,0.9,0.0,0.9,1.8,2998910
isaiahcanaan,SG,39,0,15.2,1.6,4.4,0.364,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6,0.483,0.191,1.1,8.1,4.6,9.0,1.9,0.1,10.1,15.4,0.0,0.6,0.5,0.042,-2.3,-1.1,-3.4,-0.2,1051721
clintcapela,C,65,59,23.9,5.6,8.7,0.643,0.643,1.4,2.7,0.531,2.7,5.4,8.1,1.0,0.5,1.2,1.3,2.8,12.6,0.638,0.314,12.5,24.5,18.5,6.7,1.1,4.1,12.0,19.9,3.8,2.1,5.9,0.184,0.0,0.9,0.9,1.1,1515672
demarrecarroll,SF,72,72,26.1,3.1,7.6,0.4,0.499,1.2,1.6,0.7609999999999999,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9,0.53,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,1.7,2.1,3.8,0.09699999999999999,0.7,0.4,1.0,1.4,14500000
vincecarter,SF,73,15,24.6,2.6,6.7,0.39399999999999996,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8.0,0.542,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,1.9,2.1,4.0,0.106,0.1,0.9,1.0,1.4,4088019
michaelcarterwilliams,PG,45,19,18.8,2.5,6.8,0.366,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,0.43700000000000006,0.252,3.0,16.6,9.8,20.0,2.3,2.2,16.3,20.9,-1.0,1.3,0.2,0.013000000000000001,-4.1,1.7,-2.4,-0.1,2520882
williecauleystein,C,75,21,18.9,3.4,6.4,0.53,0.53,1.3,2.0,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2.0,8.1,0.5579999999999999,0.314,7.0,20.4,13.8,9.4,1.9,2.8,11.2,19.7,1.4,1.5,2.9,0.1,-2.0,0.8,-1.2,0.3,3551200
tysonchandler,C,47,46,27.6,3.3,4.9,0.6709999999999999,0.6709999999999999,1.9,2.6,0.7340000000000001,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,0.703,0.544,12.5,33.2,22.6,3.3,1.2,1.5,18.7,11.2,2.7,1.3,4.1,0.151,-0.7,0.3,-0.3,0.5,13000000
wilsonchandler,SF,71,33,30.9,6.1,13.2,0.461,0.52,2.0,2.7,0.727,1.5,5.0,6.5,2.0,0.7,0.4,1.6,2.4,15.7,0.545,0.207,5.2,17.8,11.6,9.8,1.1,1.1,10.0,22.0,2.4,1.1,3.5,0.077,0.5,-1.4,-0.9,0.6,11625000
marquesechriss,PF,82,75,21.3,3.5,7.7,0.449,0.506,1.4,2.2,0.624,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,9.2,0.529,0.28600000000000003,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.3,1.5,1.8,0.05,-1.6,0.0,-1.6,0.2,3007620
rakeemchristmas,PF,29,0,7.6,0.7,1.5,0.442,0.442,0.7,1.0,0.7240000000000001,0.9,1.0,1.9,0.1,0.1,0.2,0.3,1.3,2.0,0.529,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.5,0.099,-3.0,-1.2,-4.2,-0.1,1052342
semajchriston,PG,64,1,15.2,1.2,3.5,0.345,0.37200000000000005,0.3,0.5,0.5479999999999999,0.3,1.1,1.4,2.0,0.4,0.1,0.7,1.2,2.9,0.387,0.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,-0.7,0.8,0.1,0.006,-5.1,-1.2,-6.3,-1.1,832994
ianclark,SG,77,0,14.8,2.7,5.6,0.48700000000000004,0.5579999999999999,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1.0,6.8,0.575,0.134,2.3,9.0,5.8,11.2,1.7,0.6,10.7,19.5,1.0,1.3,2.3,0.099,-0.6,-1.4,-2.0,0.0,1015696
jordanclarkson,SG,82,19,29.2,5.8,13.1,0.445,0.5,1.6,2.0,0.7979999999999999,0.6,2.4,3.0,2.6,1.1,0.1,2.0,1.8,14.7,0.526,0.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3,0.5,0.7,1.2,0.024,-0.5,-2.3,-2.7,-0.4,12500000
darrencollison,PG,68,64,30.3,5.0,10.5,0.47600000000000003,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2,0.57,0.239,1.3,7.1,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,3.9,0.091,0.8,-2.3,-1.5,0.3,5013559
mikeconley,PG,69,68,33.2,6.7,14.6,0.46,0.545,4.6,5.3,0.8590000000000001,0.4,3.0,3.5,6.3,1.3,0.3,2.3,1.8,20.5,0.604,0.365,1.5,10.8,6.0,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10.0,0.209,6.5,-0.8,5.7,4.5,30521115
patconnaughton,SG,39,1,8.1,0.9,1.8,0.514,0.632,0.2,0.2,0.778,0.3,1.1,1.3,0.7,0.2,0.1,0.4,0.6,2.5,0.645,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13.0,0.4,0.2,0.6,0.09,-0.9,-1.6,-2.5,0.0,838158
robertcovington,SF,67,67,31.6,4.4,10.9,0.39899999999999997,0.49200000000000005,2.1,2.6,0.8220000000000001,1.4,5.1,6.5,1.5,1.9,1.0,2.0,3.0,12.9,0.534,0.23800000000000002,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,0.0,3.2,3.1,0.071,-0.7,2.0,1.4,1.8,1148232
allencrabbe,SG,79,7,28.5,3.8,8.2,0.46799999999999997,0.5720000000000001,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,0.602,0.192,0.9,10.2,5.6,6.1,1.2,0.7,8.1,14.9,3.1,1.0,4.2,0.08900000000000001,0.3,-1.3,-1.0,0.6,18708125
jamalcrawford,SG,82,1,26.3,4.4,10.6,0.413,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,0.525,0.233,0.9,5.7,3.3,15.2,1.4,0.5,12.3,22.7,0.5,1.4,1.9,0.043,-1.0,-2.1,-3.0,-0.6,14000000
jaecrowder,SF,72,72,32.4,4.6,10.0,0.46299999999999997,0.5720000000000001,2.4,3.0,0.8109999999999999,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9,0.613,0.301,2.3,17.3,9.9,10.1,1.6,0.8,8.9,17.0,4.1,2.5,6.7,0.13699999999999998,1.4,0.2,1.6,2.1,7000000
sethcurry,PG,70,42,29.0,4.8,10.0,0.48100000000000004,0.578,1.2,1.4,0.85,0.4,2.2,2.6,2.7,1.1,0.1,1.3,1.8,12.8,0.601,0.142,1.4,9.3,5.1,16.0,2.0,0.3,11.0,19.5,2.9,1.7,4.6,0.11,1.8,-0.4,1.4,1.7,2963205
stephencurry,PG,79,79,33.4,8.5,18.3,0.46799999999999997,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,0.624,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13.0,30.1,8.7,3.9,12.6,0.22899999999999998,7.8,-0.4,7.3,6.2,11000000
troydaniels,SG,67,3,17.7,2.8,7.4,0.374,0.513,0.6,0.8,0.7959999999999999,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,0.531,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8.0,21.7,0.5,0.8,1.3,0.051,0.4,-3.5,-3.1,-0.3,3333336
deyontadavis,C,36,0,6.6,0.7,1.3,0.511,0.511,0.3,0.5,0.556,0.6,1.1,1.7,0.1,0.1,0.5,0.2,1.1,1.6,0.528,0.38299999999999995,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12.0,0.1,0.4,0.5,0.09699999999999999,-5.4,1.8,-3.7,-0.1,1307614
eddavis,PF,46,12,17.2,1.6,3.1,0.528,0.528,1.1,1.8,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3,0.563,0.57,13.4,20.9,17.1,4.6,0.9,2.2,17.2,12.0,1.0,0.7,1.7,0.10400000000000001,-2.2,0.1,-2.1,0.0,6666667
dewaynededmon,C,76,37,17.5,2.1,3.4,0.622,0.622,0.9,1.2,0.6990000000000001,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,0.645,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,2.3,3.0,5.2,0.18899999999999997,-1.6,3.2,1.7,1.2,2963205
samdekker,SF,77,2,18.4,2.6,5.6,0.473,0.5429999999999999,0.5,0.9,0.5589999999999999,1.2,2.5,3.7,1.0,0.5,0.3,0.5,1.1,6.5,0.5489999999999999,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,1.9,1.2,3.1,0.10400000000000001,-0.4,-0.6,-1.0,0.3,1720520
matthewdellavedova,PG,76,54,26.1,2.7,7.0,0.39,0.46299999999999997,1.1,1.3,0.8540000000000001,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6,0.501,0.18,1.4,7.1,4.3,25.7,1.4,0.0,18.8,16.3,0.3,0.9,1.2,0.028999999999999998,-1.9,-2.8,-4.7,-1.4,9607500
luoldeng,SF,56,49,26.5,2.9,7.6,0.387,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,0.47,0.149,4.5,17.7,10.8,7.0,1.6,1.1,8.7,14.2,0.1,0.8,0.9,0.028999999999999998,-2.3,-0.2,-2.5,-0.2,18000000
demarderozan,SG,74,74,35.4,9.7,20.9,0.467,0.47700000000000004,7.4,8.7,0.8420000000000001,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,0.552,0.419,3.0,13.6,8.3,20.6,1.5,0.4,9.0,34.3,6.7,2.4,9.0,0.166,2.4,-1.5,0.9,1.9,27800000
borisdiaw,PF,73,33,17.6,2.0,4.5,0.446,0.47700000000000004,0.4,0.5,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,0.494,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,1.1,0.040999999999999995,-2.7,-0.2,-2.9,-0.3,7000000
gorguidieng,PF,82,82,32.4,4.0,8.1,0.502,0.514,1.7,2.0,0.8140000000000001,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0,0.555,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,3.2,2.5,5.7,0.10300000000000001,-0.5,2.2,1.8,2.5,1647336
gorandragic,PG,73,73,33.7,7.3,15.4,0.475,0.527,4.1,5.2,0.79,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3,0.575,0.335,2.8,9.9,6.3,29.0,1.8,0.4,14.1,27.1,5.0,2.6,7.5,0.147,3.4,-0.7,2.7,2.9,17000450
