"","fix","Tm","Pos","G","GS","MP","FG","FGA","FG.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","average.salary","Year"
"19","bradleybeal","WAS","SG",77,77,34.9,8.3,17.2,0.482,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2,2.2,23.1,20.1,0.604,0.259,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,6.9,1.6,8.5,0.152,4.5,-2.3,2.2,2.8,25434263,2017
"20","michaelbeasley","MIL","PF",56,6,16.7,3.9,7.3,0.532,0.554,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,17.8,0.584,0.259,5,18.9,12,9.9,1.5,2.5,12.7,25.3,0.8,1,1.8,0.092,-1.7,-1.1,-2.9,-0.2,2116955,2017
"21","marcobelinelli","CHO","SG",74,0,24,3.6,8.3,0.429,0.512,2,2.3,0.893,0.2,2.2,2.4,2,0.6,0.1,0.9,1.2,10.5,13.3,0.566,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2,1.2,3.2,0.087,0.1,-2,-1.9,0.1,6333333,2017
"22","patrickbeverley","HOU","SG",67,67,30.7,3.4,8.1,0.42,0.521,1.1,1.4,0.768,1.4,4.4,5.9,4.2,1.5,0.4,1.5,3.3,9.5,13,0.546,0.175,5,15.8,10.4,18.8,2.3,1,14.6,14.1,2.9,2.4,5.3,0.123,0.8,1.5,2.3,2.3,5756757,2017
"23","bismackbiyombo","ORL","C",81,27,22.1,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7,0.9,0.3,1.1,1.2,2.5,6,12.2,0.546,0.69,9.3,25.6,17.2,6,0.7,4.1,17.7,13.2,0.8,2.1,2.9,0.077,-4.2,2,-2.2,-0.1,18000000,2017
"24","ericbledsoe","PHO","PG",66,66,33,6.8,15.7,0.434,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,20.5,0.563,0.443,2.5,13.8,8,31.1,2,1.2,15.3,28.1,4,1.4,5.3,0.118,3.7,-0.4,3.3,2.9,14000000,2017
"25","trevorbooker","BRK","PF",71,43,24.7,4.3,8.3,0.516,0.537,1,1.5,0.673,2,6,8,1.9,1.1,0.4,1.8,2.1,10,15.7,0.554,0.186,8.7,25.5,17.2,12.9,2,1.2,16.6,18.7,1,2.2,3.1,0.086,-1.6,1.7,0.1,0.9,9187500,2017
"26","averybradley","BOS","SG",55,55,33.4,6.5,14.1,0.463,0.533,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3,14.4,0.548,0.12,4,16.2,10.1,11,1.8,0.5,9.7,21.9,1.1,2,3.1,0.081,-0.2,-0.4,-0.5,0.7,8000000,2017
"27","aaronbrooks","IND","PG",65,0,13.8,1.9,4.6,0.403,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1,1.4,5,9.5,0.507,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.1,-2.5,-4.6,-0.6,2116955,2017
"28","alecburks","UTA","SG",42,0,15.5,2.4,5.9,0.399,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,11.6,0.501,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,-0.1,0.9,0.8,0.056,-3.3,-0.9,-4.2,-0.4,10500000,2017
"29","demarrecarroll","TOR","SF",72,72,26.1,3.1,7.6,0.4,0.499,1.2,1.6,0.761,0.9,2.9,3.8,1,1.1,0.4,0.8,2,8.9,11.9,0.53,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,1.7,2.1,3.8,0.097,0.7,0.4,1,1.4,14500000,2017
"30","vincecarter","MEM","SF",73,15,24.6,2.6,6.7,0.394,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8,11.7,0.542,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,1.9,2.1,4,0.106,0.1,0.9,1,1.4,8000000,2017
"31","tysonchandler","PHO","C",47,46,27.6,3.3,4.9,0.671,0.671,1.9,2.6,0.734,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,16.6,0.703,0.544,12.5,33.2,22.6,3.3,1.2,1.5,18.7,11.2,2.7,1.3,4.1,0.151,-0.7,0.3,-0.3,0.5,13000000,2017
"32","wilsonchandler","DEN","SF",71,33,30.9,6.1,13.2,0.461,0.52,2,2.7,0.727,1.5,5,6.5,2,0.7,0.4,1.6,2.4,15.7,14.9,0.545,0.207,5.2,17.8,11.6,9.8,1.1,1.1,10,22,2.4,1.1,3.5,0.077,0.5,-1.4,-0.9,0.6,11625000,2017
"33","jordanclarkson","LAL","SG",82,19,29.2,5.8,13.1,0.445,0.5,1.6,2,0.798,0.6,2.4,3,2.6,1.1,0.1,2,1.8,14.7,13.2,0.526,0.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3,0.5,0.7,1.2,0.024,-0.5,-2.3,-2.7,-0.4,12500000,2017
"34","darrencollison","SAC","PG",68,64,30.3,5,10.5,0.476,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1,0.1,1.7,1.8,13.2,15.3,0.57,0.239,1.3,7.1,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,3.9,0.091,0.8,-2.3,-1.5,0.3,10000000,2017
"35","mikeconley","MEM","PG",69,68,33.2,6.7,14.6,0.46,0.545,4.6,5.3,0.859,0.4,3,3.5,6.3,1.3,0.3,2.3,1.8,20.5,23.2,0.604,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10,0.209,6.5,-0.8,5.7,4.5,30521115,2017
"36","allencrabbe","POR","SG",79,7,28.5,3.8,8.2,0.468,0.572,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,11.6,0.602,0.192,0.9,10.2,5.6,6.1,1.2,0.7,8.1,14.9,3.1,1,4.2,0.089,0.3,-1.3,-1,0.6,18708125,2017
"37","jamalcrawford","LAC","SG",82,1,26.3,4.4,10.6,0.413,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,12,0.525,0.233,0.9,5.7,3.3,15.2,1.4,0.5,12.3,22.7,0.5,1.4,1.9,0.043,-1,-2.1,-3,-0.6,4436200,2017
