fix,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
nenehilario,PF,57,11,19.2,3.7,6.7,0.544,0.544,1.9,3.2,0.578,0.9,3.6,4.5,1.7,0.9,0.5,1.3,2.7,9.2,16.8,0.564,0.48200000000000004,5.2,21.6,13.2,14.1,2.4,1.9,14.0,21.6,1.1,1.6,2.7,0.12,-1.6,1.8,0.2,0.6,13000000
georgehill,PG,74,73,34.1,4.4,10.0,0.441,0.528,1.5,2.0,0.76,0.8,3.2,4.0,3.5,1.1,0.2,1.4,2.0,12.1,13.2,0.555,0.203,2.5,10.3,6.5,15.5,1.6,0.5,11.1,15.8,3.4,2.8,6.2,0.11800000000000001,1.1,0.5,1.5,2.2,8000000
jordanhill,C,73,11,20.7,3.8,7.5,0.506,0.506,1.2,1.7,0.7120000000000001,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8,16.4,0.534,0.228,11.3,21.2,16.3,9.5,1.2,2.0,13.2,20.3,1.6,2.3,3.9,0.124,-1.7,0.9,-0.7,0.5,4000000
solomonhill,SF,59,3,14.7,1.6,3.5,0.447,0.505,0.6,0.7,0.857,0.7,2.2,2.8,1.0,0.6,0.2,0.6,1.2,4.2,12.2,0.5429999999999999,0.20199999999999999,4.9,15.9,10.5,9.6,2.1,1.0,12.7,13.2,0.8,1.3,2.1,0.11699999999999999,-1.3,1.3,0.0,0.4,1302800
jrueholiday,PG,65,23,28.2,6.3,14.4,0.439,0.485,2.8,3.3,0.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3,16.8,19.7,0.529,0.231,1.6,10.5,5.9,37.3,2.4,1.0,14.0,28.9,2.2,1.2,3.4,0.08900000000000001,3.1,-1.3,1.7,1.7,10250001
rondaehollisjefferson,SF,29,17,21.2,2.2,4.8,0.457,0.47100000000000003,1.3,1.8,0.7120000000000001,1.3,4.0,5.3,1.5,1.3,0.6,0.9,2.1,5.8,14.2,0.519,0.377,7.0,21.4,14.1,10.1,3.2,2.1,13.9,13.5,0.5,0.7,1.2,0.094,-1.4,2.6,1.2,0.5,1395600
richaunholmes,PF,51,1,13.8,2.2,4.4,0.514,0.532,1.0,1.5,0.6890000000000001,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,5.6,15.9,0.564,0.33299999999999996,9.3,11.7,10.5,8.0,1.3,4.3,11.2,17.9,1.0,0.5,1.5,0.10300000000000001,-1.0,0.0,-0.9,0.2,1038249
rodneyhood,SG,79,79,32.2,5.2,12.3,0.42,0.503,2.2,2.5,0.86,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,14.5,14.1,0.542,0.20600000000000002,1.8,10.5,6.1,14.4,1.5,0.5,10.5,21.5,3.4,2.5,6.0,0.11199999999999999,1.6,-0.9,0.7,1.7,1608046
alhorford,C,82,82,32.1,6.5,12.8,0.505,0.547,1.3,1.6,0.7979999999999999,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,15.2,19.4,0.565,0.12300000000000001,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,0.172,1.5,2.6,4.1,4.1,12000000
dwighthoward,C,71,71,32.1,5.2,8.5,0.62,0.62,3.3,6.7,0.489,3.4,8.4,11.8,1.4,1.0,1.6,2.3,3.1,13.7,18.9,0.604,0.79,11.4,29.1,20.2,7.0,1.5,4.1,17.0,18.4,3.5,3.1,6.6,0.138,-1.1,1.8,0.6,1.5,21897818
