,fix,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary
170,michaelkiddgilchrist,55,52,28.9,4.1,8.8,0.465,0.465,2.7,3.9,0.701,2.0,5.6,7.6,1.4,0.5,0.7,1.1,2.1,10.9,0.519,0.444,7.4,21.9,14.4,8.2,1.0,1.9,9.9,18.4,1.6,2.2,3.8,0.114,-2.2,1.3,-0.8,0.5,5190231
171,kylekorver,75,75,32.2,3.9,8.0,0.48700000000000004,0.6709999999999999,1.4,1.6,0.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,0.6990000000000001,0.19699999999999998,0.7,13.3,7.2,12.1,1.1,1.5,14.1,14.4,5.0,2.4,7.5,0.14800000000000002,3.1,0.2,3.3,3.3,6000000
172,kostakoufos,81,3,16.6,2.2,4.4,0.508,0.508,0.7,1.0,0.647,1.5,3.8,5.3,0.5,0.4,0.8,0.9,1.8,5.2,0.53,0.237,10.3,25.8,18.1,4.3,1.1,3.9,14.9,15.8,0.8,2.5,3.3,0.11800000000000001,-3.4,1.9,-1.5,0.2,8219750
173,jeremylamb,47,8,13.5,2.2,5.3,0.41600000000000004,0.49200000000000005,1.0,1.2,0.8909999999999999,0.2,2.1,2.3,0.9,0.4,0.1,0.6,1.1,6.3,0.5379999999999999,0.22,1.4,16.5,9.1,10.9,1.7,0.7,9.0,20.5,1.0,0.7,1.6,0.12300000000000001,0.0,-1.6,-1.6,0.1,2341929
174,carllandry,70,15,17.0,2.7,5.3,0.515,0.515,1.8,2.1,0.82,1.4,2.4,3.8,0.4,0.2,0.2,0.8,1.9,7.2,0.578,0.40700000000000003,9.8,15.5,12.8,3.6,0.6,1.1,11.0,18.1,2.3,0.5,2.8,0.11199999999999999,-1.0,-2.6,-3.6,-0.5,6500000
175,shanelarkin,76,22,24.5,2.5,5.7,0.433,0.473,0.8,1.0,0.782,0.4,1.9,2.3,3.0,1.2,0.1,1.1,2.0,6.2,0.504,0.18100000000000002,1.7,9.4,5.4,19.4,2.6,0.4,15.1,13.6,0.8,0.9,1.7,0.045,-1.6,-0.7,-2.4,-0.2,1500000
176,zachlavine,77,40,24.7,3.7,8.8,0.42200000000000004,0.465,1.9,2.3,0.8420000000000001,0.4,2.4,2.8,3.6,0.7,0.1,2.5,2.1,10.1,0.515,0.261,1.6,11.6,6.4,24.0,1.4,0.4,20.4,22.0,-0.7,0.0,-0.7,-0.018000000000000002,-1.7,-2.7,-4.5,-1.2,2411825
177,tylawson,75,75,35.5,5.4,12.3,0.436,0.474,3.5,4.8,0.73,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2,0.526,0.392,1.6,8.1,4.7,43.0,1.7,0.3,14.6,20.6,6.0,1.0,7.0,0.126,2.7,-2.1,0.5,1.7,265058
178,courtneylee,77,74,30.6,3.7,8.4,0.44799999999999995,0.518,1.4,1.7,0.86,0.3,2.0,2.3,2.0,1.0,0.2,1.0,1.7,10.1,0.555,0.201,1.0,7.6,4.3,9.8,1.7,0.4,10.0,15.2,2.5,2.4,4.8,0.099,0.3,0.2,0.5,1.5,5337500
179,davidlee,49,4,18.4,3.3,6.4,0.511,0.511,1.4,2.1,0.654,1.7,3.6,5.2,1.7,0.6,0.5,1.0,1.7,7.9,0.541,0.332,10.0,20.3,15.3,13.7,1.7,2.1,12.0,19.6,1.6,1.6,3.2,0.168,-0.6,2.0,1.4,0.8,2085671
180,alexlen,69,44,22.0,2.6,5.1,0.507,0.508,1.1,1.5,0.7020000000000001,2.1,4.5,6.6,0.5,0.5,1.5,1.1,3.1,6.3,0.542,0.295,10.2,22.7,16.4,3.1,1.1,5.3,15.7,13.7,1.2,2.1,3.4,0.107,-3.3,2.3,-1.0,0.4,3943345
181,kawhileonard,64,64,31.8,6.2,12.8,0.479,0.52,3.2,3.9,0.802,1.3,5.9,7.2,2.5,2.3,0.8,1.5,2.0,16.5,0.5670000000000001,0.307,4.8,20.6,12.9,13.0,3.7,1.8,9.4,23.0,4.2,4.4,8.6,0.204,2.6,3.5,6.1,4.1,18868625
182,meyersleonard,55,7,15.4,2.3,4.5,0.51,0.606,0.5,0.6,0.938,0.8,3.7,4.5,0.6,0.2,0.3,0.7,2.1,5.9,0.631,0.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,1.6,1.2,2.8,0.158,0.1,0.0,0.2,0.5,2435620
183,jonleuer,63,6,13.1,1.9,4.3,0.44299999999999995,0.456,0.6,0.9,0.627,0.8,2.5,3.3,0.7,0.3,0.1,0.6,1.4,4.5,0.478,0.21600000000000003,7.0,21.7,14.3,8.8,1.1,0.9,10.5,18.6,0.2,1.2,1.3,0.078,-3.1,0.0,-3.1,-0.2,967500
184,damianlillard,82,82,35.7,7.2,16.6,0.434,0.506,4.2,4.9,0.8640000000000001,0.6,4.0,4.6,6.2,1.2,0.3,2.7,2.0,21.0,0.56,0.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,7.3,3.3,10.6,0.174,5.0,0.0,5.1,5.2,3461292
185,jeremylin,74,30,25.8,3.7,8.8,0.424,0.473,2.9,3.6,0.795,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2,0.539,0.41,1.4,10.2,5.7,28.6,2.2,1.4,17.7,21.9,1.8,0.8,2.7,0.068,0.5,-1.3,-0.8,0.6,2187128
186,shaunlivingston,78,2,18.8,2.5,5.1,0.5,0.5,0.8,1.2,0.7140000000000001,0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9,0.529,0.23,3.3,10.0,6.7,24.2,1.6,1.0,19.0,15.9,1.5,1.8,3.3,0.107,-2.1,0.4,-1.7,0.1,5543725
187,brooklopez,72,44,29.2,7.0,13.7,0.513,0.513,3.1,3.8,0.8140000000000001,3.0,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2,0.5579999999999999,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,4.7,2.2,7.0,0.159,0.5,-0.3,0.2,1.1,21165675
188,robinlopez,59,59,27.8,4.0,7.4,0.535,0.535,1.7,2.2,0.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6,0.574,0.29100000000000004,12.7,13.1,12.9,5.1,0.5,3.7,12.9,15.5,3.2,1.9,5.1,0.15,0.1,2.0,2.1,1.7,13503875
189,kevinlove,75,75,33.8,5.5,12.7,0.434,0.509,3.4,4.3,0.804,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4,0.562,0.337,6.5,26.3,16.6,10.7,1.0,1.2,10.0,21.7,5.8,2.9,8.7,0.165,2.0,-0.1,1.9,2.5,22642350
190,kylelowry,70,70,34.5,6.1,14.9,0.41200000000000003,0.47600000000000003,3.6,4.5,0.8079999999999999,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3.0,17.8,0.527,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,5.1,2.0,7.1,0.141,4.2,-0.6,3.6,3.4,12000000
191,shelvinmack,55,0,15.1,2.1,5.3,0.401,0.469,0.5,0.6,0.8059999999999999,0.1,1.3,1.4,2.8,0.5,0.0,0.9,0.6,5.4,0.489,0.106,1.1,9.5,5.4,28.6,1.8,0.2,13.8,19.5,0.5,0.8,1.3,0.075,-0.9,-2.2,-3.1,-0.2,2433333
192,ianmahinmi,61,6,18.8,1.9,3.5,0.552,0.552,0.5,1.7,0.304,1.7,4.1,5.8,0.5,0.5,0.8,1.0,2.8,4.3,0.516,0.48100000000000004,10.2,24.0,17.2,4.4,1.3,3.1,18.7,12.5,0.1,2.0,2.1,0.09,-3.8,2.6,-1.2,0.2,4000000
193,kendallmarshall,28,3,14.9,1.6,3.6,0.455,0.545,0.3,0.3,0.889,0.1,0.9,1.0,3.1,0.8,0.0,1.3,0.9,4.2,0.562,0.08900000000000001,0.6,7.1,3.8,31.1,2.6,0.0,25.0,15.1,0.3,0.5,0.8,0.08800000000000001,-1.7,-2.4,-4.1,-0.2,2000000
194,kevinmartin,39,36,33.4,6.8,16.0,0.42700000000000005,0.48700000000000004,4.4,4.9,0.8809999999999999,0.5,3.2,3.6,2.3,0.8,0.0,1.9,1.9,20.0,0.5489999999999999,0.309,1.6,11.1,6.2,12.5,1.3,0.1,9.7,26.6,2.0,-0.1,1.9,0.069,1.8,-3.9,-2.1,0.0,317475
195,wesleymatthews,60,60,33.7,5.6,12.5,0.44799999999999995,0.563,1.8,2.4,0.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9,0.586,0.193,2.1,9.5,5.9,10.8,1.9,0.4,9.0,19.8,4.0,2.2,6.2,0.147,3.8,0.1,3.9,3.0,17515007
196,ojmayo,71,15,23.9,4.2,9.9,0.42200000000000004,0.493,1.6,2.0,0.8270000000000001,0.4,2.2,2.6,2.8,0.8,0.3,1.8,2.3,11.4,0.529,0.198,2.0,10.5,6.3,19.4,1.7,0.9,14.4,23.6,0.9,1.9,2.8,0.079,0.0,-1.3,-1.3,0.3,8000000
197,raymccallum,68,30,21.1,3.0,6.9,0.43799999999999994,0.474,0.8,1.2,0.679,0.8,1.9,2.6,2.8,0.7,0.2,1.3,1.4,7.4,0.496,0.179,4.3,9.8,7.1,21.3,1.6,0.6,14.4,18.2,0.8,0.5,1.4,0.045,-0.4,-1.3,-1.7,0.1,5572
198,cjmccollum,62,3,15.7,2.6,5.9,0.436,0.511,0.8,1.2,0.6990000000000001,0.2,1.2,1.5,1.0,0.7,0.1,0.8,1.3,6.8,0.534,0.2,1.6,8.3,5.0,10.3,2.3,0.6,10.8,20.5,0.7,1.1,1.8,0.08900000000000001,-0.4,-0.3,-0.7,0.3,2620615
199,dougmcdermott,36,0,8.9,1.2,3.0,0.402,0.46299999999999997,0.3,0.4,0.667,0.2,1.0,1.2,0.2,0.1,0.0,0.5,0.8,3.0,0.48,0.14,2.1,12.2,7.3,3.0,0.6,0.2,13.0,18.3,-0.3,0.2,0.0,-0.005,-4.8,-3.3,-8.0,-0.5,2609109
200,mitchmcgary,32,2,15.2,2.8,5.2,0.5329999999999999,0.5329999999999999,0.8,1.3,0.625,1.7,3.5,5.2,0.4,0.5,0.5,1.0,2.3,6.3,0.55,0.242,11.9,24.4,18.2,4.6,1.7,2.6,14.5,19.0,0.6,0.7,1.3,0.127,-2.3,-0.1,-2.4,-0.1,1463040
201,benmclemore,82,82,32.6,4.4,10.1,0.43700000000000006,0.521,1.6,2.0,0.813,0.4,2.6,2.9,1.7,0.9,0.2,1.7,2.7,12.1,0.552,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,1.7,0.8,2.5,0.045,0.4,-1.3,-0.8,0.8,3271931
202,jodiemeeks,60,0,24.4,3.7,8.9,0.41600000000000004,0.485,2.4,2.7,0.9059999999999999,0.2,1.5,1.7,1.3,1.0,0.1,1.0,1.3,11.1,0.5479999999999999,0.3,0.9,7.1,3.9,8.8,2.1,0.3,8.6,20.1,2.2,0.9,3.1,0.10300000000000001,0.7,-1.6,-0.9,0.4,6270000
203,khrismiddleton,79,58,30.1,5.1,11.0,0.467,0.53,1.7,2.0,0.8590000000000001,0.6,3.8,4.4,2.3,1.5,0.1,1.4,2.3,13.4,0.563,0.18,2.3,14.3,8.4,12.7,2.6,0.4,10.8,19.9,3.2,3.5,6.7,0.135,0.9,0.5,1.4,2.0,14000000
