fix,Tm,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary,Year
andreabargnani,NYK,C,42,39,29.9,5.3,12.0,0.442,0.47200000000000003,2.0,2.4,0.8240000000000001,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,13.3,14.5,0.51,0.203,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,0.8,0.7,1.5,0.057999999999999996,-1.4,-1.0,-2.4,-0.1,10000000,2014
harrisonbarnes,GSW,SF,78,24,28.3,3.5,8.7,0.39899999999999997,0.44799999999999995,1.7,2.3,0.718,0.8,3.1,4.0,1.5,0.8,0.3,1.1,2.0,9.5,9.8,0.486,0.267,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,0.4,2.8,3.2,0.07,-2.3,0.9,-1.4,0.3,2192970,2014
mattbarnes,LAC,SF,63,40,27.5,3.7,8.4,0.43799999999999994,0.53,1.0,1.4,0.733,1.0,3.7,4.6,2.0,0.9,0.4,1.3,2.9,9.9,12.0,0.552,0.171,4.0,14.4,9.3,10.6,1.6,1.2,13.0,16.6,1.5,2.0,3.5,0.09699999999999999,0.7,0.8,1.5,1.5,3396250,2014
willbarton,POR,SG,41,0,9.4,1.6,3.8,0.41700000000000004,0.449,0.6,0.8,0.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4.0,13.5,0.488,0.205,4.5,16.0,10.3,13.3,1.2,1.3,9.6,21.2,0.3,0.4,0.6,0.078,-1.9,-0.7,-2.7,-0.1,751372,2014
brandonbass,BOS,PF,82,73,27.6,4.3,8.8,0.486,0.48700000000000004,2.5,2.9,0.858,2.0,3.8,5.7,1.1,0.4,0.9,1.2,2.3,11.1,15.0,0.5489999999999999,0.33,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,3.2,1.9,5.1,0.107,-1.3,0.2,-1.2,0.5,6450000,2014
nicolasbatum,POR,SF,82,82,36.0,4.6,10.0,0.465,0.5539999999999999,2.0,2.5,0.8029999999999999,1.4,6.0,7.5,5.1,0.9,0.7,2.5,1.9,13.0,15.8,0.589,0.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,4.8,3.1,7.9,0.128,2.4,1.8,4.2,4.6,11530375,2014
aronbaynes,SAS,C,53,4,9.3,1.3,3.1,0.436,0.436,0.4,0.4,0.905,1.1,1.7,2.7,0.6,0.0,0.1,0.7,1.5,3.0,9.7,0.467,0.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,-0.1,0.6,0.6,0.055,-3.7,-0.3,-4.0,-0.2,2077000,2014
bradleybeal,WAS,SG,73,73,34.7,6.6,15.7,0.419,0.479,2.0,2.6,0.7879999999999999,0.7,3.0,3.7,3.3,1.0,0.2,1.8,2.1,17.1,14.3,0.507,0.16399999999999998,2.4,10.2,6.3,16.0,1.4,0.6,9.4,24.3,1.6,2.4,4.0,0.076,0.2,-1.3,-1.1,0.5,4663129,2014
michaelbeasley,MIA,SF,55,2,15.1,3.2,6.5,0.499,0.528,1.1,1.4,0.772,0.6,2.6,3.1,0.8,0.4,0.4,1.0,1.7,7.9,16.8,0.5589999999999999,0.223,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,0.5,1.1,1.6,0.092,-2.2,-1.2,-3.5,-0.3,195440,2014
marcobelinelli,SAS,SF,80,25,25.2,4.2,8.7,0.485,0.5760000000000001,1.4,1.6,0.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,11.4,15.0,0.605,0.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,3.5,2.4,5.9,0.14,1.9,-0.3,1.7,1.9,2811875,2014
anthonybennett,CLE,PF,52,0,12.8,1.5,4.3,0.35600000000000004,0.384,0.8,1.3,0.638,0.9,2.0,3.0,0.3,0.4,0.2,0.9,1.8,4.2,6.9,0.425,0.307,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,-1.1,0.7,-0.4,-0.027999999999999997,-5.8,-1.5,-7.3,-0.9,5563920,2014
patrickbeverley,HOU,PG,56,55,31.3,3.6,8.6,0.414,0.509,1.5,1.8,0.8140000000000001,1.3,2.2,3.5,2.7,1.4,0.4,1.2,3.1,10.2,12.4,0.545,0.212,4.9,7.4,6.2,12.8,2.2,1.0,11.2,14.8,2.7,1.6,4.2,0.11599999999999999,1.9,0.6,2.5,2.0,661830,2014
bismackbiyombo,CHA,C,77,9,13.9,1.1,1.9,0.611,0.611,0.6,1.2,0.517,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,2.9,13.3,0.606,0.618,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,1.1,2.1,3.2,0.14400000000000002,-4.7,2.2,-2.5,-0.1,3161320,2014
andrayblatche,BRK,PF,73,7,22.2,4.4,9.2,0.47600000000000003,0.48700000000000004,2.2,3.0,0.742,1.6,3.7,5.3,1.5,1.0,0.5,1.5,2.3,11.2,18.8,0.532,0.32799999999999996,8.9,19.9,14.4,12.8,2.4,2.0,12.5,25.6,1.6,2.1,3.7,0.109,-0.6,0.7,0.1,0.8,7794921,2014
ericbledsoe,PHO,PG,43,40,32.9,6.2,12.9,0.47700000000000004,0.522,4.3,5.5,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7,19.6,0.578,0.426,2.1,13.8,8.0,27.0,2.4,0.8,17.8,24.9,2.6,1.6,4.1,0.14,2.3,0.6,2.9,1.8,14000000,2014
andrewbogut,GSW,C,67,67,26.4,3.5,5.6,0.627,0.627,0.3,1.0,0.344,2.7,7.3,10.0,1.7,0.7,1.8,1.4,3.1,7.3,17.0,0.61,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,2.4,4.0,6.5,0.17600000000000002,-1.2,5.6,4.4,2.8,12000000,2014
mattbonner,SAS,PF,61,0,11.3,1.2,2.7,0.445,0.573,0.1,0.2,0.75,0.3,1.9,2.1,0.5,0.2,0.2,0.3,0.8,3.2,11.2,0.5820000000000001,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.8,1.0,1.8,0.12300000000000001,-0.4,0.7,0.3,0.4,1448490,2014
trevorbooker,WAS,PF,72,45,21.6,3.1,5.6,0.551,0.551,0.7,1.1,0.618,2.1,3.2,5.3,0.9,0.6,0.6,0.8,1.8,6.8,15.0,0.563,0.18899999999999997,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,2.3,2.0,4.3,0.132,-1.1,1.3,0.2,0.8,4887500,2014
