fix,Tm,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary,Year
dwyanewade,MIA,SG,54,53,32.9,7.7,14.1,0.545,0.551,3.5,4.8,0.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0,19.0,22.0,0.588,0.33899999999999997,4.4,12.3,8.5,25.5,2.3,1.4,15.5,27.9,3.5,2.0,5.5,0.149,1.9,0.3,2.3,1.9,15562500,2014
dionwaiters,CLE,SG,70,24,29.6,6.1,14.2,0.433,0.479,2.3,3.4,0.685,0.5,2.3,2.8,3.0,0.9,0.2,2.2,2.2,15.9,14.0,0.508,0.237,1.7,9.0,5.3,18.2,1.6,0.7,12.3,26.9,0.3,1.3,1.6,0.037000000000000005,-0.2,-1.8,-2.1,0.0,4205318,2014
kembawalker,CHA,PG,73,73,35.8,6.2,15.7,0.39299999999999996,0.441,3.9,4.6,0.8370000000000001,0.5,3.7,4.2,6.1,1.2,0.4,2.3,1.8,17.7,16.8,0.499,0.295,1.7,11.6,6.6,29.7,1.7,1.0,11.6,25.8,1.8,3.3,5.1,0.09300000000000001,1.6,0.2,1.7,2.4,2664793,2014
johnwall,WAS,PG,82,82,36.3,7.1,16.3,0.433,0.473,3.9,4.8,0.805,0.5,3.6,4.1,8.8,1.8,0.5,3.6,2.7,19.3,19.5,0.524,0.295,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,4.0,4.0,7.9,0.128,2.4,0.2,2.6,3.4,16957900,2014
geraldwallace,BOS,SF,58,16,24.4,2.0,4.0,0.504,0.546,0.8,1.7,0.465,0.6,3.0,3.7,2.5,1.3,0.2,1.7,1.4,5.1,10.0,0.5429999999999999,0.439,2.8,14.5,8.5,14.9,2.7,0.8,26.1,11.6,-0.3,1.6,1.3,0.043,-2.5,2.2,-0.3,0.6,10000008,2014
cjwatson,IND,PG,63,5,18.9,2.3,5.3,0.43700000000000006,0.516,1.1,1.4,0.784,0.3,1.3,1.6,1.7,1.0,0.1,1.0,1.0,6.6,13.0,0.555,0.263,1.9,7.4,4.8,14.4,2.6,0.5,13.9,16.6,1.1,2.1,3.2,0.13,-0.3,0.8,0.5,0.7,2046500,2014
martellwebster,WAS,SF,78,13,27.7,3.3,7.5,0.433,0.557,1.3,1.6,0.84,0.5,2.4,2.8,1.2,0.5,0.2,0.7,1.9,9.7,11.5,0.591,0.213,2.0,10.1,6.0,6.7,1.0,0.6,8.3,14.7,3.3,1.7,5.0,0.11199999999999999,1.0,-1.1,-0.1,1.0,5497625,2014
davidwest,IND,PF,80,80,30.9,5.7,11.7,0.488,0.49,2.5,3.1,0.789,1.5,5.3,6.8,2.8,0.8,0.9,1.7,2.3,14.0,17.5,0.5329999999999999,0.267,5.7,18.3,12.3,16.1,1.3,2.3,11.2,21.9,3.1,5.0,8.1,0.157,-0.6,2.7,2.0,2.5,12200000,2014
russellwestbrook,OKC,PG,46,46,30.7,7.5,17.2,0.43700000000000006,0.48,5.3,6.4,0.826,1.2,4.5,5.7,6.9,1.9,0.2,3.8,2.3,21.8,24.7,0.545,0.37,4.6,15.9,10.5,40.2,3.1,0.4,16.1,34.4,3.0,2.3,5.2,0.17800000000000002,5.2,1.2,6.4,3.0,15719062,2014
deronwilliams,BRK,PG,64,58,32.2,5.0,11.2,0.45,0.518,2.7,3.4,0.8009999999999999,0.2,2.4,2.6,6.1,1.5,0.2,2.2,2.3,14.3,17.6,0.564,0.302,0.9,8.9,4.9,32.8,2.4,0.5,15.0,21.8,3.8,1.5,5.4,0.125,2.7,-1.5,1.2,1.6,19754465,2014
elliotwilliams,PHI,SG,67,2,17.3,2.1,5.0,0.415,0.47,1.3,1.8,0.731,0.4,1.5,1.9,1.1,0.5,0.0,1.0,1.9,6.0,8.7,0.519,0.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,0.0,0.3,0.3,0.013999999999999999,-3.2,-2.6,-5.7,-1.1,5771,2014
marvinwilliams,UTA,PF,66,50,25.4,3.5,8.0,0.439,0.519,0.9,1.1,0.7809999999999999,1.2,3.8,5.1,1.2,0.8,0.5,0.8,2.3,9.1,14.0,0.54,0.139,5.5,17.9,11.5,7.7,1.7,1.5,8.7,16.7,1.9,1.0,2.9,0.084,0.5,-0.3,0.2,0.9,7000000,2014
mowilliams,POR,PG,74,0,24.8,3.8,9.1,0.41700000000000004,0.478,1.1,1.2,0.8759999999999999,0.6,1.5,2.1,4.3,0.7,0.1,2.0,2.7,9.7,11.8,0.507,0.132,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,1.0,1.2,2.2,0.055999999999999994,-0.2,-1.7,-2.0,0.0,3750000,2014
shawnewilliams,LAL,PF,36,13,20.9,2.0,5.3,0.38,0.49,0.4,0.6,0.7,0.7,3.9,4.6,0.8,0.5,0.8,0.6,2.6,5.6,9.5,0.503,0.10400000000000001,3.6,20.2,11.9,5.7,1.2,2.9,9.5,12.9,0.1,0.6,0.7,0.045,-1.9,0.7,-1.2,0.2,1292066,2014
jeffwithey,NOP,C,58,4,11.8,1.2,2.2,0.535,0.535,0.9,1.3,0.7120000000000001,0.8,1.7,2.6,0.4,0.3,0.9,0.3,1.3,3.3,15.2,0.59,0.5660000000000001,8.2,17.4,12.7,5.6,1.1,6.1,11.0,12.0,1.2,0.6,1.8,0.128,-1.4,1.7,0.3,0.4,653331,2014
natewolters,MIL,PG,58,31,22.6,2.9,6.7,0.43700000000000006,0.46,1.0,1.6,0.6559999999999999,0.6,2.0,2.6,3.2,0.6,0.3,1.0,1.2,7.2,12.7,0.486,0.231,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,0.9,0.2,1.2,0.043,-1.4,-2.1,-3.4,-0.5,4803,2014
brandanwright,DAL,C,58,0,18.6,3.9,5.7,0.677,0.677,1.3,1.8,0.726,1.8,2.4,4.2,0.5,0.6,0.9,0.6,1.6,9.1,23.5,0.695,0.32,11.0,15.1,13.1,4.7,1.5,4.2,8.5,17.4,4.1,1.0,5.1,0.22699999999999998,3.1,0.6,3.6,1.5,5000000,2014
dorellwright,POR,SF,68,13,14.5,1.6,4.4,0.374,0.49,0.8,1.0,0.754,0.4,2.4,2.8,0.9,0.3,0.2,0.6,0.9,5.0,11.9,0.524,0.23199999999999998,3.2,17.5,10.5,9.4,1.2,1.1,10.6,16.2,0.9,1.0,1.9,0.091,-0.1,-0.3,-0.4,0.4,3067500,2014
tonywroten,PHI,PG,72,16,24.5,4.8,11.2,0.42700000000000005,0.452,2.9,4.5,0.6409999999999999,1.0,2.2,3.2,3.0,1.1,0.2,2.8,2.1,13.0,12.9,0.493,0.40299999999999997,4.1,10.1,7.0,20.9,2.1,0.7,17.7,27.7,-1.8,0.9,-0.9,-0.025,-2.3,-2.3,-4.6,-1.2,1886531,2014
nickyoung,LAL,SG,64,9,28.3,6.0,13.9,0.435,0.511,3.7,4.5,0.825,0.5,2.1,2.6,1.5,0.7,0.2,1.5,2.4,17.9,16.0,0.564,0.321,1.7,8.1,4.9,9.0,1.2,0.5,8.6,26.8,2.3,0.3,2.5,0.067,1.7,-3.6,-1.9,0.0,5331544,2014
thaddeusyoung,PHI,PF,79,78,34.4,7.4,16.2,0.45399999999999996,0.489,2.1,2.9,0.7120000000000001,2.1,3.9,6.0,2.3,2.1,0.5,2.1,2.7,17.9,16.6,0.512,0.17800000000000002,6.3,12.8,9.5,11.8,3.0,1.1,10.7,24.1,1.2,2.3,3.5,0.062,0.2,-0.4,-0.2,1.2,8600000,2014
codyzeller,CHA,C,82,3,17.3,2.1,4.9,0.426,0.426,1.8,2.4,0.73,1.4,2.9,4.3,1.1,0.5,0.5,1.1,2.1,6.0,13.1,0.498,0.495,9.4,18.8,14.1,10.4,1.5,2.3,15.0,18.9,0.4,2.2,2.6,0.09,-3.2,1.8,-1.3,0.2,4352528,2014
tylerzeller,CLE,C,70,9,15.0,2.2,4.1,0.5379999999999999,0.5379999999999999,1.2,1.7,0.7190000000000001,1.5,2.6,4.0,0.5,0.3,0.5,0.9,2.0,5.7,15.4,0.581,0.41700000000000004,10.8,19.6,15.1,5.6,0.9,3.0,14.9,17.1,1.5,1.1,2.6,0.12,-1.9,0.2,-1.7,0.1,1879324,2014
quincyacy,TOT,SF,63,0,13.4,1.0,2.2,0.46799999999999997,0.48200000000000004,0.6,0.8,0.66,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7,10.1,0.52,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0.6,0.9,1.5,0.086,-2.5,1.4,-1.1,0.2,789705,2014
lavoyallen,TOT,PF,65,2,16.5,2.1,4.6,0.447,0.45,0.5,0.8,0.66,1.8,3.0,4.8,1.1,0.4,0.5,0.7,1.9,4.7,12.5,0.47,0.16699999999999998,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,0.6,0.9,1.5,0.066,-3.1,0.3,-2.8,-0.2,948163,2014
joelanthony,TOT,C,33,0,5.6,0.4,1.0,0.375,0.375,0.1,0.2,0.5,0.5,0.7,1.2,0.1,0.1,0.4,0.1,0.5,0.8,8.1,0.39399999999999996,0.25,9.1,14.6,11.8,1.6,0.8,5.2,7.8,9.3,0.0,0.2,0.2,0.044000000000000004,-5.7,1.0,-4.7,-0.1,3650000,2014
djaugustin,TOT,PG,71,9,27.3,4.2,10.1,0.415,0.508,2.8,3.2,0.885,0.2,1.6,1.8,4.4,0.7,0.0,1.8,2.1,13.1,16.2,0.569,0.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,3.8,2.4,6.2,0.154,2.6,-2.2,0.4,1.2,3000000,2014
jerrydbayless,TOT,PG,72,19,23.4,3.4,8.6,0.402,0.46399999999999997,1.3,1.6,0.797,0.3,1.7,2.0,2.7,0.8,0.1,1.1,2.2,9.3,12.0,0.498,0.191,1.5,8.6,5.0,18.5,1.9,0.4,10.9,20.1,1.1,1.3,2.4,0.069,-0.4,-1.4,-1.8,0.1,3000000,2014
kentbazemore,TOT,SG,67,15,13.6,2.2,5.1,0.429,0.491,1.0,1.6,0.606,0.1,1.6,1.7,1.4,0.6,0.2,1.2,1.5,6.0,11.2,0.515,0.318,1.2,12.6,6.9,15.7,2.3,1.0,16.8,22.6,-0.6,0.8,0.2,0.011000000000000001,-2.1,-0.4,-2.5,-0.1,2000000,2014
steveblake,TOT,PG,55,28,27.2,2.4,6.4,0.377,0.489,0.6,0.8,0.767,0.2,2.7,2.9,5.6,1.0,0.1,1.9,1.5,6.9,11.0,0.508,0.122,0.9,10.4,5.7,28.8,1.8,0.4,21.5,13.8,0.7,1.1,1.8,0.057999999999999996,-0.9,-0.7,-1.6,0.2,2123733,2014
aaronbrooks,TOT,PG,72,12,21.6,3.2,8.1,0.401,0.484,1.2,1.3,0.8740000000000001,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2.0,9.0,12.5,0.518,0.16399999999999998,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,0.4,-1.9,-1.5,0.2,1145685,2014
caronbutler,TOT,SF,56,13,25.3,3.8,9.6,0.39399999999999996,0.485,1.1,1.3,0.84,0.4,3.7,4.1,1.5,0.8,0.3,1.1,2.1,10.5,12.2,0.512,0.139,1.7,16.8,9.2,9.6,1.7,1.0,9.5,20.1,0.6,1.2,1.8,0.062,-0.7,-1.4,-2.1,0.0,4500000,2014
earlclark,TOT,PF,54,17,14.2,1.8,4.8,0.37200000000000005,0.45,0.4,0.6,0.647,0.4,2.2,2.6,0.3,0.3,0.5,0.6,1.2,4.8,9.1,0.466,0.13,3.2,18.2,10.5,3.7,1.1,2.8,10.1,17.9,-0.4,0.8,0.3,0.02,-3.9,-0.9,-4.8,-0.5,624168,2014
glendavis,TOT,PF,68,44,24.4,4.0,8.7,0.457,0.46,1.4,2.0,0.693,1.6,3.6,5.2,1.1,0.9,0.4,1.1,2.3,9.4,13.1,0.491,0.231,7.4,16.4,11.9,7.8,1.8,1.4,10.4,19.9,0.2,1.8,2.0,0.057999999999999996,-2.8,0.3,-2.5,-0.2,1227985,2014
dewaynededmon,TOT,C,31,6,12.6,1.2,2.7,0.45799999999999996,0.45799999999999996,0.7,1.0,0.6559999999999999,1.2,2.9,4.1,0.2,0.2,0.7,0.6,2.1,3.1,10.7,0.5,0.386,10.7,25.8,18.1,1.9,0.9,4.5,15.6,13.1,0.1,0.5,0.6,0.07,-6.0,0.0,-6.0,-0.4,687919,2014
luoldeng,TOT,SF,63,63,35.1,5.9,13.7,0.431,0.465,3.4,4.3,0.7909999999999999,1.6,4.2,5.7,2.9,1.0,0.1,1.8,1.8,16.0,15.2,0.517,0.312,5.0,13.4,9.2,14.6,1.5,0.3,10.4,22.3,2.2,2.3,4.5,0.098,0.4,-0.2,0.2,1.2,9933037,2014
toneydouglas,TOT,PG,51,17,13.2,1.4,3.7,0.384,0.466,0.5,0.7,0.735,0.4,1.4,1.7,1.3,0.4,0.1,0.7,1.6,4.0,9.2,0.493,0.179,3.4,11.9,7.8,14.6,1.5,0.6,14.2,16.3,0.2,0.7,0.9,0.061,-1.5,-0.8,-2.3,-0.1,664827,2014
reggieevans,TOT,PF,54,20,16.6,1.3,2.8,0.473,0.473,1.3,2.4,0.5539999999999999,2.1,4.1,6.2,0.4,0.7,0.1,1.1,2.2,4.0,11.7,0.516,0.867,14.8,28.4,21.5,3.5,2.1,0.3,21.9,13.4,0.3,1.2,1.5,0.08,-3.5,-0.1,-3.6,-0.4,1695635,2014
jimmerfredette,TOT,SG,49,0,10.6,2.2,4.6,0.47100000000000003,0.5589999999999999,0.4,0.4,0.905,0.2,0.9,1.1,1.3,0.3,0.1,1.0,0.7,5.6,15.8,0.578,0.09300000000000001,1.7,9.7,5.7,22.2,1.4,0.5,16.9,24.3,0.5,0.3,0.8,0.078,0.6,-3.0,-2.4,0.0,948163,2014
rudygay,TOT,SF,73,73,34.7,7.4,16.2,0.455,0.483,4.4,5.3,0.8220000000000001,1.5,4.4,6.0,2.9,1.3,0.8,3.1,2.3,20.0,18.3,0.54,0.32799999999999996,5.0,14.8,9.8,15.1,1.9,1.8,14.2,27.6,2.3,2.5,4.8,0.091,0.6,0.3,0.9,1.8,16460538,2014
dannygranger,TOT,SF,41,2,20.7,2.8,7.5,0.37799999999999995,0.44799999999999995,1.5,1.6,0.94,0.8,2.5,3.2,1.0,0.3,0.4,1.1,1.5,8.2,10.9,0.502,0.218,4.3,12.9,8.8,7.8,0.7,1.5,12.0,20.5,0.1,1.2,1.3,0.073,-2.2,-0.6,-2.8,-0.2,2123733,2014
jordanhamilton,TOT,SF,60,12,17.0,2.5,6.3,0.391,0.484,0.7,0.9,0.784,0.5,2.7,3.2,0.9,0.7,0.3,0.8,1.1,6.7,12.7,0.507,0.136,3.5,17.1,10.4,7.9,2.1,1.5,10.4,18.7,0.4,1.1,1.6,0.073,-0.9,-0.1,-1.0,0.3,583006,2014
spencerhawes,TOT,C,80,78,30.9,5.0,11.0,0.456,0.529,1.5,1.9,0.7829999999999999,1.6,6.6,8.3,3.0,0.6,1.2,2.2,3.0,13.2,15.7,0.5539999999999999,0.172,5.6,24.2,14.6,15.8,0.9,3.1,15.4,19.6,2.2,2.3,4.5,0.08800000000000001,-0.4,0.9,0.5,1.6,5663088,2014
chuckhayes,TOT,C,61,1,12.4,0.9,2.1,0.431,0.431,0.3,0.4,0.8,1.1,2.3,3.4,0.6,0.6,0.2,0.5,1.6,2.2,10.0,0.46799999999999997,0.192,10.5,21.8,16.1,6.8,2.3,1.3,19.0,10.4,0.2,1.2,1.4,0.086,-3.1,2.5,-0.6,0.3,5604375,2014
courtneylee,TOT,SG,79,47,25.0,3.7,7.8,0.48,0.539,1.3,1.4,0.884,0.4,2.0,2.4,1.5,0.8,0.4,0.9,1.6,9.6,13.8,0.574,0.182,1.7,9.5,5.6,9.3,1.7,1.2,9.9,17.0,2.8,1.9,4.7,0.114,0.5,-0.1,0.4,1.2,5337500,2014
cartiermartin,TOT,SF,59,6,14.7,1.9,4.5,0.42,0.532,0.8,1.1,0.738,0.2,1.6,1.9,0.6,0.5,0.1,0.6,1.2,5.6,11.0,0.562,0.24600000000000002,1.7,12.8,7.3,5.9,1.6,0.6,10.4,17.1,0.5,0.8,1.3,0.07,-1.2,-1.5,-2.8,-0.2,1208325,2014
andremiller,TOT,SG,58,2,16.9,1.8,4.0,0.45899999999999996,0.483,1.0,1.3,0.779,0.5,1.8,2.2,3.4,0.6,0.2,1.1,1.3,4.9,13.9,0.534,0.33299999999999996,3.1,11.7,7.4,29.2,1.7,0.7,18.7,14.5,1.4,0.8,2.2,0.10800000000000001,-1.3,-0.4,-1.8,0.1,4875000,2014
dariusmorris,TOT,PG,27,0,11.6,1.4,3.6,0.406,0.469,0.6,1.0,0.654,0.3,0.7,1.0,1.6,0.5,0.0,1.0,1.2,4.0,9.2,0.498,0.271,2.5,6.8,4.6,21.5,2.1,0.0,20.1,18.6,-0.1,0.2,0.0,0.006,-2.9,-2.9,-5.7,-0.3,859089,2014
garyneal,TOT,SG,52,3,21.4,3.7,9.1,0.41,0.48200000000000004,1.8,2.0,0.895,0.2,1.5,1.7,1.6,0.3,0.0,1.2,1.3,10.5,12.5,0.53,0.223,1.0,8.3,4.6,13.0,0.8,0.0,11.0,23.8,0.6,0.3,1.0,0.040999999999999995,-0.6,-4.0,-4.6,-0.7,3250000,2014
patrickpatterson,TOT,PF,65,13,23.6,3.5,7.5,0.46,0.516,0.8,1.1,0.7040000000000001,1.8,3.5,5.3,1.2,0.8,0.6,1.0,2.4,8.5,14.6,0.5329999999999999,0.145,8.8,17.1,12.9,8.5,1.9,1.9,11.1,17.2,1.8,2.0,3.8,0.11800000000000001,0.4,1.1,1.5,1.3,6050000,2014
lukeridnour,TOT,PG,61,14,18.7,2.1,5.4,0.385,0.442,0.3,0.4,0.654,0.4,1.2,1.6,2.9,0.5,0.1,1.1,1.5,5.0,9.0,0.452,0.08,2.2,7.6,4.8,24.3,1.5,0.6,16.3,16.1,-0.3,0.4,0.1,0.005,-2.7,-2.4,-5.1,-0.9,2750000,2014
ramonsessions,TOT,PG,83,19,26.7,4.0,9.3,0.429,0.452,3.9,4.9,0.807,0.5,2.0,2.4,4.1,0.6,0.1,1.8,1.1,12.3,16.0,0.539,0.525,1.9,8.6,5.2,25.7,1.2,0.3,13.5,22.7,3.1,1.2,4.3,0.094,0.1,-2.3,-2.2,-0.1,2123733,2014
henrysims,TOT,C,46,25,19.0,2.8,6.0,0.474,0.474,2.0,2.6,0.7440000000000001,2.3,2.9,5.2,1.1,0.6,0.4,0.9,2.5,7.6,16.1,0.535,0.442,12.5,17.2,14.8,9.5,1.6,1.9,11.1,18.0,1.4,0.7,2.1,0.115,-1.0,-0.3,-1.3,0.2,852058,2014
marcusthornton,TOT,SG,72,27,24.2,3.5,8.9,0.39399999999999996,0.48,1.3,1.6,0.804,0.8,2.0,2.8,1.1,0.8,0.2,0.9,1.5,9.8,12.0,0.511,0.175,3.7,9.4,6.6,7.3,1.7,0.5,8.9,19.7,1.0,1.0,2.0,0.055,0.1,-1.7,-1.6,0.2,7787500,2014
evanturner,TOT,SF,81,56,30.3,5.4,12.6,0.425,0.45,2.6,3.2,0.813,0.8,4.3,5.0,3.2,0.8,0.1,2.3,2.4,14.0,12.4,0.498,0.257,2.7,15.7,9.0,17.8,1.3,0.2,14.3,23.2,-0.5,1.8,1.4,0.027000000000000003,-2.4,-1.3,-3.7,-1.0,3351755,2014
benoudrih,TOT,SG,41,12,15.7,1.9,4.3,0.43799999999999994,0.49200000000000005,0.6,0.7,0.833,0.2,1.2,1.4,2.8,0.6,0.1,1.1,1.2,4.9,12.7,0.523,0.16899999999999998,1.8,9.2,5.4,28.0,1.9,0.5,19.7,17.2,0.5,0.3,0.8,0.061,-1.4,-2.0,-3.4,-0.2,2123733,2014
greivisvasquez,TOT,SG-PG,79,23,22.5,3.5,8.3,0.42100000000000004,0.504,1.2,1.4,0.88,0.3,1.9,2.2,4.1,0.4,0.1,1.6,1.8,9.6,14.1,0.537,0.16399999999999998,1.3,10.0,5.6,30.4,0.9,0.2,15.4,21.1,2.4,1.2,3.6,0.09699999999999999,1.2,-2.6,-1.4,0.3,6500000,2014
derrickwilliams,TOT,SF-PF,78,15,23.3,2.6,6.2,0.42700000000000005,0.45399999999999996,2.4,3.3,0.718,0.9,3.2,4.1,0.7,0.6,0.3,1.0,1.5,8.0,11.5,0.524,0.537,4.3,15.8,10.0,4.7,1.3,0.9,11.3,16.2,1.3,1.3,2.6,0.068,-2.1,-0.5,-2.6,-0.3,4809840,2014
quincyacy,NYK,PF,68,22,18.9,2.2,4.9,0.45899999999999996,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,11.9,0.5329999999999999,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1.0,0.7,1.7,0.063,-2.3,-0.8,-3.1,-0.3,1016155,2015
jordanadams,MEM,SG,30,0,8.3,1.2,2.9,0.40700000000000003,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,12.8,0.489,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0.0,0.4,0.4,0.073,-1.8,1.2,-0.6,0.1,1404600,2015
stevenadams,OKC,C,70,67,25.3,3.1,5.7,0.544,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,14.1,0.5489999999999999,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,2423849,2015
alexisajinca,NOP,C,68,8,14.1,2.7,4.8,0.55,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,19.9,0.595,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,5050000,2015
colealdrich,NYK,C,61,16,16.0,2.4,4.9,0.478,0.478,0.8,1.0,0.7809999999999999,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5,18.1,0.513,0.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,0.8,1.4,2.2,0.107,-2.2,3.1,0.9,0.7,1163944,2015
lamarcusaldridge,POR,PF,71,71,35.4,9.3,19.9,0.466,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,22.8,0.528,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,4.9,3.7,8.6,0.165,0.3,0.0,0.3,1.4,21018008,2015
lavoyallen,IND,C,63,0,17.0,2.2,4.7,0.47200000000000003,0.47200000000000003,0.5,0.7,0.7020000000000001,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5.0,14.9,0.493,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,1.3,1.6,2.8,0.127,-1.4,2.2,0.8,0.8,4025000,2015
tonyallen,MEM,SG,63,41,26.2,3.6,7.2,0.495,0.505,1.3,2.0,0.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6,14.6,0.528,0.27699999999999997,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,0.9,3.2,4.1,0.11900000000000001,-0.4,3.7,3.3,2.2,5000000,2015
alfarouqaminu,DAL,SF,74,3,18.5,2.0,4.8,0.41200000000000003,0.45899999999999996,1.1,1.6,0.7120000000000001,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,14.4,0.504,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,1.2,2.0,3.3,0.115,-0.5,2.9,2.4,1.5,7500000,2015
chrisandersen,MIA,C,60,20,18.9,2.0,3.5,0.58,0.589,1.3,1.9,0.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,5.3,16.1,0.622,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,2.1,1.5,3.6,0.151,-1.2,2.3,1.0,0.9,5187500,2015
alananderson,BRK,SG,74,19,23.6,2.6,5.9,0.44299999999999995,0.526,1.1,1.4,0.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,7.4,10.6,0.563,0.23,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,1.7,1.1,2.7,0.075,0.0,-0.5,-0.5,0.6,4000000,2015
kyleanderson,SAS,SF,33,8,10.8,0.9,2.7,0.348,0.365,0.3,0.4,0.643,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.8,2.2,8.2,0.389,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,-0.3,0.6,0.3,0.044000000000000004,-5.2,2.4,-2.7,-0.1,1142880,2015
ryananderson,NOP,PF,61,5,27.5,4.8,12.0,0.39899999999999997,0.483,2.1,2.5,0.8540000000000001,1.8,3.1,4.8,0.9,0.5,0.3,1.0,1.9,13.7,15.6,0.524,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,2.6,0.9,3.5,0.1,2.0,-3.1,-1.1,0.4,8500000,2015
giannisantetokounmpo,MIL,SG,81,71,31.4,4.7,9.6,0.491,0.496,3.2,4.3,0.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7,14.8,0.552,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4.0,6.2,0.11699999999999999,-1.7,2.1,0.5,1.6,2871714,2015
carmeloanthony,NYK,SF,40,40,35.7,9.0,20.2,0.444,0.48200000000000004,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2,21.5,0.531,0.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,2.2,0.6,2.9,0.09699999999999999,3.5,-2.2,1.4,1.2,24812936,2015
joelanthony,DET,C,49,0,8.3,0.7,1.3,0.581,0.581,0.3,0.4,0.682,0.7,1.2,1.9,0.1,0.2,1.0,0.2,1.1,1.8,14.7,0.607,0.355,8.2,17.0,12.4,1.8,1.5,9.5,14.3,9.1,0.5,0.7,1.2,0.142,-3.4,4.8,1.4,0.3,2500000,2015
trevorariza,HOU,SF,82,82,35.7,4.5,11.1,0.402,0.509,1.5,1.7,0.853,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8,12.7,0.539,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,2.7,3.9,6.6,0.10800000000000001,0.6,1.3,1.9,2.9,8000001,2015
darrellarthur,DEN,PF,58,4,17.0,2.7,6.6,0.40399999999999997,0.43799999999999994,0.8,1.0,0.78,0.9,2.0,2.9,1.0,0.8,0.4,0.8,2.5,6.6,11.5,0.466,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20.0,-0.1,0.9,0.9,0.042,-1.8,0.7,-1.1,0.2,2877315,2015
omerasik,NOP,C,76,76,26.1,2.8,5.4,0.517,0.517,1.7,3.0,0.5820000000000001,3.2,6.6,9.8,0.9,0.4,0.7,1.3,1.9,7.3,15.5,0.545,0.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,2.8,2.2,5.0,0.12,-1.3,0.6,-0.7,0.6,11595505,2015
