"","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1"
"50","Bobby Portis\portibo01",410,"PF",22,"CHI",73,4,22.5,5.2,11.1,0.471,1.1,3.1,0.359,4.1,8.1,0.514,0.52,1.6,2.1,0.769,2.2,4.6,6.8,1.7,0.7,0.3,1.4,1.8,13.2,54,20,3,199,3745,751,1622,128,371,207,281,357,1131,210,91,56,194,324,1837,0.463,0.345,0.737,18.8,9.2,5.7,1.1
"51","Cristiano Felicio\feliccr01",157,"C",25,"CHI",55,16,17.8,2.3,3.9,0.591,0,0,0,2.3,3.9,0.596,0.591,1,1.5,0.667,1.5,2.7,4.2,1,0.3,0.2,1,1.9,5.6,17,23,3,152,2338,295,508,0,6,139,209,237,646,121,47,41,100,245,729,0.581,0,0.665,15.4,4.8,4.3,0.8
"52","D'Angelo Russell\russeda01",437,"PG",21,"BRK",48,35,25.7,5.8,14,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,2,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5,60,19,3,191,5304,1021,2495,355,1032,384,509,108,684,818,216,46,519,365,2781,0.409,0.344,0.754,27.8,14.6,3.6,4.3
"53","Delon Wright\wrighde01",530,"PG",25,"TOR",69,4,20.8,2.9,6.3,0.465,0.8,2.2,0.366,2.1,4,0.52,0.53,1.4,1.7,0.829,0.7,2.2,2.9,2.9,1,0.5,1.1,1.2,8,72,23,3,123,2108,286,628,71,196,165,207,69,283,288,107,47,119,119,808,0.455,0.362,0.797,17.1,6.6,2.3,2.3
"54","Devin Booker\bookede01",58,"SG",21,"PHO",54,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4,4.5,4.7,0.9,0.3,3.6,3.1,24.9,6,19,3,208,6703,1428,3352,393,1078,871,1026,99,680,721,163,55,595,635,4120,0.426,0.365,0.849,32.2,19.8,3.3,3.5
"55","Emmanuel Mudiay\mudiaem01",357,"PG",21,"DEN",42,0,17.9,3.1,7.7,0.401,0.9,2.4,0.373,2.2,5.2,0.414,0.46,1.5,1.9,0.808,0.4,1.9,2.2,2.9,0.5,0.1,1.7,1.1,8.5,44,19,3,187,4719,741,1982,177,558,369,505,87,562,795,147,59,453,316,2028,0.374,0.317,0.731,25.2,10.8,3,4.3
"56","Emmanuel Mudiay\mudiaem01",357,"PG",21,"TOT",64,14,19.5,3.2,8.2,0.388,0.7,2.3,0.318,2.5,5.9,0.415,0.433,1.5,2,0.76,0.4,2,2.4,3.2,0.6,0.2,1.8,1.3,8.6,44,19,3,187,4719,741,1982,177,558,369,505,87,562,795,147,59,453,316,2028,0.374,0.317,0.731,25.2,10.8,3,4.3
"57","Frank Kaminsky\kaminfr01",270,"PF",24,"CHO",79,4,23.2,3.9,9.1,0.429,1.3,3.5,0.38,2.6,5.6,0.459,0.501,2,2.5,0.799,0.6,3.1,3.6,1.6,0.5,0.2,0.8,1.2,11.1,32,22,3,235,5497,842,2043,288,830,381,498,172,959,389,120,96,200,360,2353,0.412,0.347,0.765,23.4,10,4.1,1.7
"58","Jahlil Okafor\okafoja01",381,"C",22,"BRK",26,0,12.6,2.8,5,0.566,0,0.2,0.25,2.8,4.8,0.576,0.57,0.7,1,0.76,0.7,2.3,2.9,0.4,0.1,0.6,0.7,1.7,6.4,49,20,3,131,3078,716,1390,2,10,260,381,224,698,135,45,128,236,313,1694,0.515,0.2,0.682,23.5,12.9,5.3,1
"59","Jahlil Okafor\okafoja01",381,"C",22,"TOT",28,0,12.6,2.8,4.9,0.558,0,0.1,0.25,2.7,4.8,0.567,0.562,0.8,1,0.724,0.8,2.3,3,0.4,0.1,0.6,0.8,1.8,6.3,49,20,3,131,3078,716,1390,2,10,260,381,224,698,135,45,128,236,313,1694,0.515,0.2,0.682,23.5,12.9,5.3,1
