"","fix","Pos.y","G","GS.y","MP","FG","FGA","FG..y","eFG..y","FT","FTA","FT..y","ORB","DRB.y","TRB","AST","STL","BLK","TOV","PF","PS.G","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","average salary"
"98","lavoyallen","PF",65,2,16.5,2.1,4.6,0.447,0.45,0.5,0.8,0.66,1.8,3,4.8,1.1,0.4,0.5,0.7,1.9,4.7,12.5,0.47,0.167,11.7,20,15.7,10.1,1.1,2.4,12,14.6,0.6,0.9,1.5,0.066,-3.1,0.3,-2.8,-0.2,3030000
"99","luigidatome","SF",34,0,7,1,2.9,0.351,0.387,0.2,0.3,0.8,0.4,0.9,1.4,0.3,0.2,0,0.3,0.6,2.4,8,0.409,0.103,6.1,15.5,10.6,7,1.3,0.3,9.8,20.2,-0.2,0.1,-0.1,-0.023,-3.8,-3.2,-7,-0.3,1750000
"100","lukebabbitt","PF",27,2,17.5,2.2,5.7,0.39,0.506,0.5,0.7,0.778,0.7,2.6,3.3,1.1,0.3,0.4,0.6,1.9,6.3,12.1,0.525,0.117,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17,0.5,0.2,0.7,0.074,0.5,-1.9,-1.4,0.1,684540
"101","marcusmorris","SF",82,1,22,3.5,7.9,0.442,0.518,1.5,1.9,0.761,1,2.9,3.9,1.1,0.9,0.2,1.2,1.9,9.7,14.8,0.552,0.244,5.2,14.6,9.9,7.6,2,0.8,11.6,19.9,2.3,1.8,4.2,0.111,0.6,-0.5,0.2,1,2164795
"102","markieffmorris","PF",81,0,26.6,5.1,10.4,0.486,0.507,3.2,4,0.792,1.7,4.3,6,1.8,0.8,0.6,1.8,2.9,13.8,18.4,0.564,0.387,7.3,18,12.6,10.9,1.6,1.8,12.9,23.2,4,2.4,6.4,0.143,0.5,0.4,1,1.6,2251450
"103","marquisteague","SG",40,3,11.1,1,3,0.319,0.34,0.7,0.9,0.743,0,1,1,1.5,0.3,0.1,1,1.2,2.7,3.8,0.398,0.294,0.3,10.2,5.3,20.6,1.2,0.9,22.5,18.2,-1,0.4,-0.5,-0.059,-7.6,-1.2,-8.8,-0.8,1017547
"104","marshonbrooks","SG",35,0,9,1.6,3.6,0.456,0.508,0.9,1.3,0.727,0.3,1.3,1.5,0.7,0.4,0.1,0.7,0.6,4.5,15.5,0.551,0.352,3.4,15.5,9.3,12.9,2.2,0.9,14.3,23.4,0.1,0.3,0.4,0.06,-2.1,-1.6,-3.7,-0.1,1144662
"105","masonplumlee","C",70,22,18.2,2.8,4.3,0.659,0.659,1.7,2.8,0.626,1.4,3,4.4,0.9,0.7,0.8,1.1,2.4,7.4,19,0.67,0.646,9.3,19.6,14.5,8.1,2,3.6,16.6,17.1,3,1.7,4.7,0.176,0.5,1.9,2.4,1.4,1599943
"106","matthewdellavedova","SG",72,4,17.7,1.7,4.1,0.412,0.508,0.5,0.7,0.792,0.4,1.3,1.7,2.6,0.5,0.1,0.8,1.7,4.7,10.7,0.534,0.162,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,1.4,0.7,2.1,0.078,-0.5,-1.7,-2.1,0,653331
"107","mauriceharkless","SF",80,41,24.4,2.8,6,0.464,0.525,1.1,1.8,0.594,0.9,2.4,3.3,1,1.2,0.6,1.1,1.8,7.4,11.8,0.542,0.296,4,11.4,7.7,6.4,2.6,2,13.6,14.8,0.6,2.1,2.8,0.068,-1.6,1.4,-0.1,0.9,2080925
"108","meyersleonard","C",40,0,8.9,1,2.3,0.451,0.451,0.4,0.5,0.762,0.7,2.1,2.8,0.5,0.2,0.1,0.4,1.9,2.5,9.4,0.489,0.231,8,25.5,16.8,7.3,1,1,13,14.2,0.2,0.5,0.6,0.086,-3.6,0.4,-3.3,-0.1,2435620
"109","michaelcarterwilliams","PG",70,70,34.5,6.1,15.1,0.405,0.431,3.7,5.2,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3,16.7,15.5,0.48,0.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,-0.8,2.1,1.3,0.026,-0.6,0.4,-0.2,1.1,2520882
"110","michaelkiddgilchrist","SF",62,62,24.2,2.7,5.7,0.473,0.475,1.8,3,0.614,1.8,3.5,5.2,0.8,0.7,0.6,1,2.3,7.2,12,0.516,0.521,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,0.9,2.2,3.1,0.098,-2.7,1.7,-0.9,0.4,5190231
"111","mikescott","PF",80,6,18.5,3.8,7.9,0.479,0.529,1.3,1.7,0.78,0.8,2.8,3.6,0.9,0.4,0.1,1,1.5,9.6,15.3,0.559,0.21,4.9,17.2,11.1,8.9,1,0.4,10.3,23.5,1.3,1.2,2.6,0.084,-0.7,-2.3,-3,-0.4,631238
"112","milesplumlee","C",80,79,24.6,3.6,6.9,0.517,0.517,0.9,1.7,0.561,2.5,5.4,7.8,0.5,0.6,1.1,1.4,2.3,8.1,14.6,0.529,0.239,11.3,24.4,17.9,3.3,1.3,3.5,15.4,16.2,1.2,2.8,4,0.098,-2.8,1.3,-1.5,0.2,1368493
"113","miroslavraduljica","C",48,2,9.7,1.4,2.6,0.54,0.54,0.9,1.1,0.818,1.1,1.1,2.3,0.5,0.1,0.3,0.6,1.8,3.8,15.3,0.603,0.437,12.9,13.7,13.3,8.3,0.8,2.3,15.7,17.3,1,0.1,1.1,0.112,-0.6,-1.8,-2.3,0,1522500
