"","player","i","pos","age","team","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","avg_salary","contract_year"
"1066","David Lee",2016,"PF",32,"BOS",30,4,15.7,2.9,6.4,0.453,0,0,0,2.9,6.4,0.455,0.453,1.3,1.7,0.784,1.4,3,1.8,0.4,0.4,1.3,1.7,7.1,470,15.5,0.499,0.005,0.266,9.1,20.4,18.3,1.2,2.2,15.1,22.9,0.2,0.7,0.9,0.092,-2.5,1.2,0.1,2085671,1
"1067","David Lee",2016,"PF",32,"DAL",25,1,17.3,3.6,5.7,0.636,0,0,NA,3.6,5.7,0.636,0.636,1.2,1.7,0.738,2.4,4.6,1.2,0.4,0.6,1.1,2.5,8.5,433,24,0.66,0,0.294,15.2,29.1,12.5,1.2,2.9,14.8,20,1.5,0.7,2.1,0.237,2.1,2.2,0.7,2085671,1
"1068","David Lee",2016,"PF",32,"TOT",55,5,16.4,3.2,6.1,0.531,0,0,0,3.2,6.1,0.533,0.531,1.3,1.7,0.763,1.8,3.7,1.5,0.4,0.5,1.2,2.1,7.8,903,19.6,0.568,0.003,0.278,12,24.6,15.5,1.2,2.5,14.9,21.5,1.7,1.4,3,0.161,-0.3,1.7,0.8,2085671,1
"1069","David Lee",2017,"PF",33,"SAS",79,10,18.7,3.1,5.3,0.59,0,0,NA,3.1,5.3,0.59,0.59,1,1.4,0.708,1.9,3.7,1.6,0.4,0.5,1,1.6,7.3,1477,18.5,0.613,0,0.269,11.7,21.9,13,1.1,2.2,14.9,16.9,3.2,2.5,5.7,0.186,0.7,2.5,1.9,1578813,0
"1070","David Nwaba",2017,"SG",24,"LAL",20,2,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,2,0.641,0.9,2.3,0.7,0.7,0.4,0.6,1.8,6,397,12.2,0.611,0.062,0.481,4.5,13.1,5,1.6,1.4,10.1,11.8,0.6,0.2,0.8,0.091,-1.7,-0.3,0,3197,0
"1071","David Nwaba",2017,"SG",24,"LAL",20,2,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,2,0.641,0.9,2.3,0.7,0.7,0.4,0.6,1.8,6,397,12.2,0.611,0.062,0.481,4.5,13.1,5,1.6,1.4,10.1,11.8,0.6,0.2,0.8,0.091,-1.7,-0.3,0,3197,0
"1072","David Nwaba",2017,"SG",24,"LAL",20,2,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,2,0.641,0.9,2.3,0.7,0.7,0.4,0.6,1.8,6,397,12.2,0.611,0.062,0.481,4.5,13.1,5,1.6,1.4,10.1,11.8,0.6,0.2,0.8,0.091,-1.7,-0.3,0,693070,0
"1073","David Nwaba",2018,"SG",25,"CHI",70,21,23.5,2.9,6,0.478,0.3,0.7,0.346,2.6,5.3,0.496,0.499,1.9,2.9,0.655,1.3,3.4,1.5,0.8,0.4,1.1,2.3,7.9,1646,12.2,0.542,0.123,0.48,5.6,16,9.4,1.7,1.6,13.1,15.6,1.1,1.4,2.4,0.071,-2.5,0.9,0.1,693070,0
"1074","David Stockton",2015,"PG",23,"SAC",3,0,11,0.7,2,0.333,0.3,0.7,0.5,0.3,1.3,0.25,0.417,1,2,0.5,0,0.7,3,0.7,0,1.3,0.3,2.7,33,10.8,0.463,0.333,1,0,6.6,39.1,3.1,0,31.6,16.9,0,0,0,-0.014,-4.4,-4,-0.1,2984,0
"1075","David Stockton",2015,"PG",23,"SAC",3,0,11,0.7,2,0.333,0.3,0.7,0.5,0.3,1.3,0.25,0.417,1,2,0.5,0,0.7,3,0.7,0,1.3,0.3,2.7,33,10.8,0.463,0.333,1,0,6.6,39.1,3.1,0,31.6,16.9,0,0,0,-0.014,-4.4,-4,-0.1,428498,0
