"","player","i","pos","age","team","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","avg_salary","contract_year"
"1","A.J. Hammons",2017,"C",24,"DAL",22,0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,0.2,0,0.6,0.5,1,2.2,163,8.4,0.472,0.238,0.476,5.4,21,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-7.5,2,-0.1,868504,0
"3","A.J. Price",2012,"PG",25,"IND",44,1,12.9,1.3,4,0.339,0.6,2,0.295,0.8,2,0.384,0.414,0.6,0.8,0.8,0.3,1.1,2,0.5,0,0.7,0.7,3.9,568,11.5,0.454,0.506,0.201,2.6,9.4,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.2,-1.7,0,701359,1
"4","A.J. Price",2013,"PG",26,"WAS",57,22,22.4,2.8,7.2,0.39,1.2,3.5,0.35,1.6,3.7,0.427,0.475,0.9,1.1,0.79,0.4,1.6,3.6,0.6,0.1,1.1,1.3,7.7,1278,12.4,0.501,0.484,0.15,1.7,8.2,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,0.1,885120,0
"5","A.J. Price",2015,"PG",28,"TOT",26,0,12.5,2,5.3,0.372,0.6,2.2,0.263,1.4,3.1,0.45,0.427,0.6,0.9,0.667,0.2,1,1.8,0.3,0,0.5,0.6,5.1,324,12,0.451,0.416,0.175,2.1,8.9,23.5,1.1,0,8.7,22.5,0,0.2,0.3,0.041,-0.7,-3.1,-0.1,6255,0
"6","A.J. Price",2015,"PG",28,"PHO",5,0,8.8,0.6,2.8,0.214,0,1.4,0,0.6,1.4,0.429,0.214,0,0,NA,0,0.6,1.2,0,0,0.2,1,1.2,44,-1.6,0.214,0.5,0,0,7.5,18.7,0,0,6.7,15,-0.1,0,-0.1,-0.14,-7.7,-4.1,-0.1,6255,0
"7","A.J. Price",2015,"PG",28,"IND",10,0,19.3,3.9,8.9,0.438,1.5,3.9,0.385,2.4,5,0.48,0.522,1.2,1.8,0.667,0.2,1.2,2.7,0.4,0,1,0.9,10.5,193,17.1,0.542,0.438,0.202,1.2,6.8,25.3,1.1,0,9.4,25.1,0.3,0.2,0.5,0.123,2.7,-3.6,0.1,6255,0
"8","A.J. Price",2015,"PG",28,"CLE",11,0,7.9,0.8,3.1,0.265,0,1,0,0.8,2.1,0.391,0.265,0.4,0.5,0.667,0.4,1,1.2,0.3,0,0.3,0.1,2,87,7.7,0.3,0.324,0.176,5.4,14.3,22.1,1.8,0,7.6,20.6,-0.2,0.1,-0.1,-0.051,-4.6,-1.5,-0.1,6255,0
"9","Aaron Brooks",2013,"PG",28,"HOU",7,0,5.4,0.6,1.9,0.308,0.3,1,0.286,0.3,0.9,0.333,0.385,0,0,NA,0.1,0.1,0.9,0.1,0.4,0.6,0.7,1.4,38,5.6,0.385,0.538,0,3,3,23.1,1.3,6,23.5,19.6,-0.1,0,0,-0.063,-5.8,-0.5,0,2454000,1
"10","Aaron Brooks",2013,"PG",28,"SAC",46,20,20.8,3,6.6,0.459,1,2.8,0.378,2,3.8,0.517,0.538,0.9,1.1,0.769,0.3,1.4,2.3,0.6,0.2,1.4,1.9,8,959,12.1,0.562,0.419,0.172,1.4,8.1,17.8,1.5,0.6,16.2,18,0.9,0,0.9,0.045,0.2,-2.7,-0.1,2454000,1
"11","Aaron Brooks",2013,"PG",28,"TOT",53,20,18.8,2.7,6,0.453,0.9,2.5,0.373,1.8,3.4,0.511,0.532,0.8,1,0.769,0.2,1.3,2.2,0.6,0.2,1.3,1.8,7.1,997,11.8,0.555,0.424,0.165,1.5,7.9,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,0,-2.7,-0.2,2454000,1
"12","Aaron Brooks",2014,"PG",29,"HOU",43,0,16.7,2.4,6.1,0.395,1.3,3.1,0.409,1.2,3,0.382,0.498,0.9,1,0.841,0.5,0.9,1.9,0.6,0.1,1.2,1.8,7,716,11.9,0.529,0.502,0.167,3.8,5.7,18.1,1.7,0.6,15.3,20.4,0.6,0.5,1.1,0.076,0.3,-2.1,0,947907,1
"13","Aaron Brooks",2014,"PG",29,"TOT",72,12,21.6,3.2,8.1,0.401,1.3,3.4,0.387,1.9,4.6,0.411,0.484,1.2,1.3,0.874,0.6,1.3,3.2,0.7,0.2,1.6,2,9,1557,12.5,0.518,0.427,0.164,3.1,6.7,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,0.4,-1.9,0.2,947907,1
"14","Aaron Brooks",2014,"PG",29,"DEN",29,12,29,4.4,11,0.406,1.4,4,0.362,3,7,0.431,0.472,1.6,1.8,0.902,0.7,2,5.2,0.9,0.2,2.3,2.4,11.9,841,12.9,0.508,0.365,0.16,2.6,7.5,27.7,1.6,0.6,16.2,20.5,0.6,0.4,1,0.058,0.4,-1.6,0.2,947907,1
"15","Aaron Brooks",2015,"PG",30,"CHI",82,21,23,4.2,10,0.421,1.5,3.8,0.387,2.7,6.1,0.442,0.495,1.8,2.1,0.833,0.4,1.6,3.2,0.7,0.2,1.9,2.3,11.6,1885,14.4,0.534,0.383,0.213,1.9,7.5,24.2,1.5,0.6,14.9,25,1.7,1.5,3.3,0.083,1,-2.4,0.3,1145685,1
"16","Aaron Brooks",2016,"PG",31,"CHI",69,0,16.1,2.7,6.8,0.401,1,2.7,0.357,1.8,4.1,0.43,0.471,0.7,0.9,0.766,0.3,1.2,2.6,0.4,0.1,1.2,1.9,7.1,1108,11.8,0.494,0.394,0.136,2,7.5,26,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-0.5,-2.8,-0.4,2250000,1
"17","Aaron Brooks",2017,"PG",32,"IND",65,0,13.8,1.9,4.6,0.403,0.7,2,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.9,0.4,0.1,1,1.4,5,894,9.5,0.507,0.427,0.133,2.3,6.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.1,-2.5,-0.6,2700000,1
"18","Aaron Brooks",2018,"PG",33,"MIN",32,1,5.9,0.9,2.2,0.406,0.3,1,0.355,0.5,1.2,0.447,0.486,0.3,0.3,0.727,0.2,0.3,0.6,0.2,0,0.3,0.9,2.3,189,9.8,0.508,0.449,0.159,4.2,6.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-0.8,-3.6,-0.1,2116955,0
"19","Aaron Gordon",2015,"PF",19,"ORL",47,8,17,2,4.4,0.447,0.3,1,0.271,1.7,3.4,0.5,0.478,0.9,1.3,0.721,1,2.6,0.7,0.4,0.5,0.8,1.8,5.2,797,11.4,0.517,0.231,0.293,6.4,17.8,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.8,0,-0.2,4504865,0
"20","Aaron Gordon",2016,"PF",20,"ORL",78,37,23.9,3.5,7.4,0.473,0.5,1.8,0.296,3,5.6,0.531,0.509,1.7,2.5,0.668,2,4.5,1.6,0.8,0.7,0.8,2,9.2,1863,17,0.541,0.245,0.333,9,21.3,10.3,1.6,2.4,9,17.3,3.2,2.2,5.4,0.139,0.6,1.2,1.8,4504865,0
"21","Aaron Gordon",2017,"SF",21,"ORL",80,72,28.7,4.9,10.8,0.454,1,3.3,0.288,4,7.5,0.528,0.499,2,2.7,0.719,1.5,3.6,1.9,0.8,0.5,1.1,2.2,12.7,2298,14.5,0.53,0.309,0.251,5.3,14.1,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.077,-0.2,-0.4,0.8,4504865,0
"22","Aaron Gordon",2018,"PF",22,"ORL",58,57,32.9,6.5,14.9,0.434,2,5.9,0.336,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,2.3,1,0.8,1.8,1.9,17.6,1909,16.5,0.53,0.395,0.26,5,21.5,11.7,1.5,1.9,10,24.7,0.9,2,2.9,0.072,0,0,1,4504865,0
"23","Aaron Gray",2012,"C",27,"TOR",49,40,16.6,1.7,3.3,0.516,0,0,NA,1.7,3.3,0.516,0.516,0.5,1,0.532,1.7,4,0.6,0.4,0.3,1,2.6,3.9,813,11.1,0.526,0,0.292,12.1,28.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,0.082,-3.5,1.5,0,2500000,1
"24","Aaron Gray",2013,"C",28,"TOR",42,16,12.2,1.1,2.1,0.533,0,0,NA,1.1,2.1,0.533,0.533,0.5,1,0.523,1.1,2,0.8,0.2,0.1,0.9,2,2.8,513,9,0.544,0,0.489,10.9,20,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-0.1,2632938,0
"25","Aaron Gray",2014,"C",29,"SAC",33,6,10.2,0.8,1.8,0.431,0,0,0,0.8,1.7,0.439,0.431,0.3,0.5,0.556,1.2,1.9,0.6,0.3,0.2,0.8,1.7,1.8,335,7.9,0.455,0.017,0.31,13,21.8,8.2,1.5,1.9,29.1,12.2,-0.2,0.4,0.1,0.018,-4.2,1.7,0,2632938,0
"26","Aaron Gray",2014,"C",29,"TOT",37,6,9.6,0.7,1.6,0.443,0,0,0,0.7,1.6,0.45,0.443,0.3,0.5,0.55,1.1,1.9,0.6,0.3,0.2,0.8,1.7,1.8,355,7.8,0.466,0.016,0.328,13.2,22.3,9.1,1.4,1.8,30.8,12.5,-0.3,0.4,0.1,0.016,-4.3,1.7,-0.1,2632938,0
"27","Aaron Gray",2014,"C",29,"TOR",4,0,5,0.5,0.8,0.667,0,0,NA,0.5,0.8,0.667,0.667,0.3,0.5,0.5,0.8,1.3,0.8,0,0,1,1.8,1.3,20,5.7,0.644,0,0.667,17.4,29.3,23.1,0,0,50.8,17.9,0,0,0,-0.007,-4.7,0.7,0,2632938,0
"28","Aaron Harrison",2016,"SG",21,"CHO",21,0,4.4,0.2,0.9,0.263,0.1,0.5,0.3,0.1,0.4,0.222,0.342,0.2,0.6,0.417,0.2,0.5,0.1,0.3,0,0.2,0.5,0.9,93,4.3,0.371,0.526,0.632,4.7,13.1,3,3.2,0,14.1,13.7,-0.2,0.1,0,-0.014,-5.6,0.1,-0.1,699865,0
"29","Abdel Nader",2018,"SF",24,"BOS",48,1,10.9,1,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,0.5,0.3,0.2,0.7,0.9,3,522,5.1,0.439,0.436,0.262,2.8,12,7.1,1.4,1.6,17,17.1,-0.9,0.8,-0.1,-0.014,-5.9,0.3,-0.5,1388032,0
"30","Adonis Thomas",2014,"SF",20,"ORL",4,0,6,0.8,2.3,0.333,0,0.8,0,0.8,1.5,0.5,0.333,0.3,0.3,1,0,0.8,0.5,0,0,0,0.5,1.8,24,5.8,0.371,0.333,0.111,0,14.2,13.2,0,0,0,17.9,0,0,0,-0.031,-5.3,-3.8,0,2883,0
"31","Adonis Thomas",2014,"SF",20,"ORL",4,0,6,0.8,2.3,0.333,0,0.8,0,0.8,1.5,0.5,0.333,0.3,0.3,1,0,0.8,0.5,0,0,0,0.5,1.8,24,5.8,0.371,0.333,0.111,0,14.2,13.2,0,0,0,17.9,0,0,0,-0.031,-5.3,-3.8,0,2883,0
"32","Adonis Thomas",2014,"SF",20,"ORL",4,0,6,0.8,2.3,0.333,0,0.8,0,0.8,1.5,0.5,0.333,0.3,0.3,1,0,0.8,0.5,0,0,0,0.5,1.8,24,5.8,0.371,0.333,0.111,0,14.2,13.2,0,0,0,17.9,0,0,0,-0.031,-5.3,-3.8,0,2883,0
"33","Adonis Thomas",2014,"SF",20,"TOT",6,1,6.2,1,2.3,0.429,0.2,0.8,0.2,0.8,1.5,0.556,0.464,0.2,0.2,1,0,0.5,0.5,0,0,0.2,1,2.3,37,7.3,0.485,0.357,0.071,0,9.2,13.4,0,0,6.5,18.5,0,0,0,0.001,-4,-5.7,-0.1,2883,0
"34","Adonis Thomas",2014,"SF",20,"TOT",6,1,6.2,1,2.3,0.429,0.2,0.8,0.2,0.8,1.5,0.556,0.464,0.2,0.2,1,0,0.5,0.5,0,0,0.2,1,2.3,37,7.3,0.485,0.357,0.071,0,9.2,13.4,0,0,6.5,18.5,0,0,0,0.001,-4,-5.7,-0.1,2883,0
"35","Adonis Thomas",2014,"SF",20,"TOT",6,1,6.2,1,2.3,0.429,0.2,0.8,0.2,0.8,1.5,0.556,0.464,0.2,0.2,1,0,0.5,0.5,0,0,0.2,1,2.3,37,7.3,0.485,0.357,0.071,0,9.2,13.4,0,0,6.5,18.5,0,0,0,0.001,-4,-5.7,-0.1,2883,0
"36","Adonis Thomas",2014,"SF",20,"PHI",2,1,6.5,1.5,2.5,0.6,0.5,1,0.5,1,1.5,0.667,0.7,0,0,NA,0,0,0.5,0,0,0.5,2,3.5,13,10.1,0.7,0.4,0,0,0,13.9,0,0,16.7,19.5,0,0,0,0.06,-1.4,-9.3,0,2883,0
"37","Adonis Thomas",2014,"SF",20,"PHI",2,1,6.5,1.5,2.5,0.6,0.5,1,0.5,1,1.5,0.667,0.7,0,0,NA,0,0,0.5,0,0,0.5,2,3.5,13,10.1,0.7,0.4,0,0,0,13.9,0,0,16.7,19.5,0,0,0,0.06,-1.4,-9.3,0,2883,0
"38","Adonis Thomas",2014,"SF",20,"PHI",2,1,6.5,1.5,2.5,0.6,0.5,1,0.5,1,1.5,0.667,0.7,0,0,NA,0,0,0.5,0,0,0.5,2,3.5,13,10.1,0.7,0.4,0,0,0,13.9,0,0,16.7,19.5,0,0,0,0.06,-1.4,-9.3,0,2883,0
"39","Adreian Payne",2015,"PF",23,"MIN",29,22,24.8,3.1,7.3,0.418,0,0.3,0.125,3,7.1,0.429,0.42,1,1.5,0.659,1.6,3.8,1,0.6,0.3,1.5,2.9,7.2,720,7.8,0.448,0.038,0.207,7.2,18.2,6.6,1.3,1,15.9,16.9,-0.6,0.2,-0.5,-0.033,-4.5,-1.2,-0.7,1938800,0
"40","Adreian Payne",2015,"PF",23,"TOT",32,22,23.1,2.8,6.9,0.414,0,0.3,0.111,2.8,6.6,0.427,0.416,0.9,1.4,0.652,1.5,3.6,0.9,0.6,0.3,1.4,2.8,6.7,739,7.7,0.443,0.041,0.209,7.2,18.2,6.4,1.3,1,15.5,17,-0.7,0.2,-0.5,-0.033,-4.6,-1.3,-0.7,1938800,0
"41","Adreian Payne",2015,"PF",23,"ATL",3,0,6.3,0.7,2.3,0.286,0,0.3,0,0.7,2,0.333,0.286,0.3,0.7,0.5,0.3,1,0,0.3,0,0,1.3,1.7,19,2.9,0.317,0.143,0.286,6.2,17.5,0,2.7,0,0,19,0,0,0,-0.039,-9.4,-4.5,-0.1,1938800,0
"42","Adreian Payne",2016,"PF",24,"MIN",52,2,9.3,1,2.8,0.366,0.2,0.6,0.281,0.8,2.2,0.389,0.397,0.3,0.5,0.654,0.4,1.8,0.6,0.3,0.2,0.7,1.5,2.5,486,5.6,0.422,0.221,0.179,4.8,21.5,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-5.9,-0.2,-0.5,1938800,0
"43","Adreian Payne",2017,"PF",25,"MIN",18,0,7.5,1.3,3,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.454,0.8,1.1,0.737,0.5,1.3,0.4,0.4,0.4,0.4,1.8,3.5,135,14.4,0.505,0.278,0.352,7.7,21,8,3,4.4,11.4,23.1,0,0.2,0.2,0.086,-2.2,0.7,0,1938800,0
"45","Al Harrington",2012,"PF",31,"DEN",64,1,27.5,5.4,12.1,0.446,1.6,4.7,0.333,3.8,7.3,0.519,0.512,1.9,2.8,0.676,1.1,5,1.4,0.9,0.2,1.8,2.8,14.2,1761,15.3,0.535,0.392,0.228,4.9,20.4,8.2,1.7,0.5,11.6,24.4,1.6,1.6,3.2,0.088,0.8,-1.3,0.6,6687400,0
"46","Al Harrington",2013,"C",32,"ORL",10,0,11.9,2,5.7,0.351,0.8,3,0.267,1.2,2.7,0.444,0.421,0.3,0.4,0.75,0.6,2.1,1,0.4,0.1,0.7,1.8,5.1,119,10.3,0.434,0.526,0.07,5.7,19.9,13.7,1.8,0.6,10.6,25.1,-0.1,0.1,0,-0.012,-1.7,-2.1,-0.1,6687400,1
"47","Al Harrington",2014,"PF",33,"WAS",34,0,15,2.4,6.1,0.396,1,2.9,0.34,1.4,3.1,0.449,0.478,0.8,1,0.771,0.4,1.9,0.8,0.4,0,1,2.1,6.6,511,9.7,0.506,0.483,0.169,3.3,15,8.7,1.4,0,13.3,22.7,-0.2,0.5,0.4,0.035,-2.2,-2.4,-0.3,1399507,0
"48","Al Horford",2012,"C",25,"ATL",11,11,31.6,5.2,9.4,0.553,0,0.1,0,5.2,9.3,0.559,0.553,2,2.7,0.733,2.4,4.6,2.2,0.9,1.3,1.5,1.9,12.4,348,19,0.585,0.01,0.291,8.8,17.1,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,0.5,2.3,0.4,12000000,0
"49","Al Horford",2013,"C",26,"ATL",74,74,37.2,7.8,14.3,0.543,0,0.1,0.5,7.7,14.2,0.544,0.545,1.8,2.8,0.644,2.6,7.6,3.2,1.1,1.1,2,2.2,17.4,2756,19.8,0.56,0.006,0.196,8.2,23,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,0.7,2.4,3.5,12000000,0
"50","Al Horford",2014,"C",27,"ATL",29,29,33,8.2,14.5,0.567,0.1,0.4,0.364,8.1,14.1,0.572,0.571,2,2.9,0.682,2.3,6.1,2.6,0.9,1.5,2.2,1.9,18.6,958,22,0.588,0.026,0.202,8,21.4,15.2,1.4,3.6,12.3,24.7,1.5,1.3,2.8,0.141,0.8,2,1.1,12000000,0
"51","Al Horford",2015,"C",28,"ATL",76,76,30.5,6.8,12.7,0.538,0.1,0.5,0.306,6.7,12.2,0.547,0.544,1.4,1.9,0.759,1.7,5.4,3.2,0.9,1.3,1.3,1.6,15.2,2318,21.4,0.563,0.037,0.146,6.7,19.8,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,1.3,2.5,3.4,12000000,0
"52","Al Horford",2016,"C",29,"ATL",82,82,32.1,6.5,12.8,0.505,1.1,3.1,0.344,5.4,9.7,0.557,0.547,1.3,1.6,0.798,1.8,5.5,3.2,0.8,1.5,1.3,2,15.2,2631,19.4,0.565,0.244,0.123,6.3,18.2,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,0.172,1.5,2.6,4.1,12000000,1
"53","Al Horford",2017,"C",30,"BOS",68,68,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2,0.8,1.4,5.4,5,0.8,1.3,1.7,2,14,2193,17.7,0.553,0.302,0.169,4.9,18.6,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,1,2,2.8,28331557,0
"54","Al Horford",2018,"C",31,"BOS",72,72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,3.8,7.3,0.514,0.553,1.3,1.7,0.783,1.4,5.9,4.7,0.6,1.1,1.8,1.9,12.9,2277,17.6,0.575,0.3,0.159,5,20.2,23.6,0.9,2.9,14.1,18.4,4,3.8,7.8,0.165,1.1,2.9,3.5,28331557,0
"55","Al Jefferson",2012,"C",27,"UTA",61,61,34,8.5,17.2,0.492,0,0.1,0.25,8.4,17.1,0.493,0.493,2.2,2.9,0.774,2.2,7.4,2.2,0.8,1.7,1,2.5,19.2,2075,22.8,0.52,0.004,0.169,7.3,25.3,12.1,1.2,3.9,5.2,25.7,4.9,2.5,7.5,0.173,1.7,1.3,2.6,13000000,0
"56","Al Jefferson",2013,"C",28,"UTA",78,78,33.1,7.8,15.8,0.494,0,0.2,0.118,7.8,15.6,0.5,0.495,2.1,2.8,0.77,2,7.2,2.1,1,1.1,1.3,2.2,17.8,2578,20.9,0.522,0.014,0.176,7,25.9,12,1.6,2.7,7.3,25.3,4.3,3.3,7.7,0.143,0.5,1,2.2,13000000,1
"57","Al Jefferson",2014,"C",29,"CHA",73,73,35,9.6,18.8,0.509,0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,2.1,0.9,1.1,1.7,2.4,21.8,2553,22.7,0.532,0.011,0.201,6.9,28.3,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.146,0.3,1.5,2.5,13500000,0
"58","Al Jefferson",2015,"C",30,"CHO",65,61,30.6,7.5,15.5,0.481,0,0.1,0.4,7.4,15.5,0.482,0.482,1.7,2.5,0.655,1.5,6.9,1.7,0.7,1.3,1,2.1,16.6,1992,19.7,0.5,0.005,0.163,5.3,25.5,11.6,1.2,3.3,5.9,26.3,1.3,3.4,4.7,0.113,-1.3,1.6,1.1,13500000,0
"59","Al Jefferson",2016,"C",31,"CHO",47,18,23.3,5.2,10.7,0.485,0,0,NA,5.2,10.7,0.485,0.485,1.5,2.4,0.649,1.2,5.2,1.5,0.6,0.9,0.7,2.5,12,1096,18.2,0.507,0,0.22,5.6,24.6,11.8,1.4,3,5.8,24.2,1,1.8,2.8,0.123,-2.3,1.2,0.2,13500000,1
"60","Al Jefferson",2017,"C",32,"IND",66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1.3,0.765,1.1,3.1,0.9,0.3,0.2,0.5,1.9,8.1,931,18.9,0.526,0.002,0.18,9.2,24.2,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-0.2,10000000,0
"61","Al Jefferson",2018,"C",33,"IND",36,1,13.4,3.1,5.8,0.534,0,0.1,0,3.1,5.7,0.541,0.534,0.8,1,0.833,0.8,3.1,0.8,0.4,0.6,0.6,1.8,7,484,20.2,0.563,0.014,0.173,7,26.2,10,1.7,4.2,8.6,22.5,0.8,0.8,1.6,0.158,-1.7,1.3,0.2,10000000,0
"62","Al-Farouq Aminu",2012,"SF",21,"NOH",66,21,22.4,2.3,5.5,0.411,0.2,0.7,0.277,2.1,4.8,0.431,0.429,1.3,1.7,0.754,1.4,3.2,1,0.9,0.5,1.4,2.1,6,1477,10.6,0.481,0.129,0.312,7.8,16.9,7.2,2.2,1.9,18,16.2,-0.4,1.8,1.4,0.044,-3,1.6,0.2,2755560,0
"63","Al-Farouq Aminu",2013,"SF",22,"NOH",76,71,27.2,3,6.2,0.475,0.1,0.3,0.211,2.9,6,0.486,0.479,1.3,1.8,0.737,1.8,5.9,1.4,1.2,0.7,1.5,2,7.3,2066,13.7,0.519,0.04,0.289,7.9,26.2,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-2,2.4,1.3,2755560,1
"64","Al-Farouq Aminu",2014,"SF",23,"NOP",80,65,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,1.4,1,0.5,1.1,1.8,7.2,2045,13.2,0.516,0.097,0.277,7.2,21.2,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-1.4,1,0.9,3749602,1
"65","Al-Farouq Aminu",2015,"SF",24,"DAL",74,3,18.5,2,4.8,0.412,0.5,1.7,0.274,1.5,3.1,0.485,0.459,1.1,1.6,0.712,1.5,3.1,0.8,0.9,0.8,0.7,1.9,5.6,1366,14.4,0.504,0.347,0.331,9.1,18.4,6.1,2.6,3.7,11.9,15.2,1.2,2,3.3,0.115,-0.5,2.9,1.5,981084,1
"66","Al-Farouq Aminu",2016,"SF",25,"POR",82,82,28.5,3.6,8.8,0.416,1.5,4.3,0.361,2.1,4.5,0.468,0.503,1.4,1.9,0.737,1.2,4.9,1.7,0.9,0.6,1.5,2.1,10.2,2341,12.7,0.533,0.485,0.217,4.5,18.6,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4,0.082,-0.4,0.7,1.3,7500000,0
"67","Al-Farouq Aminu",2017,"PF",26,"POR",61,25,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,1.6,1,0.7,1.5,1.7,8.7,1773,11.3,0.506,0.455,0.292,4.8,23.5,7.9,1.7,2,15.2,15.4,-0.1,2,1.9,0.051,-2.3,1.2,0.4,7500000,0
"68","Al-Farouq Aminu",2018,"PF",27,"POR",69,67,30,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,1.2,1.1,0.6,1.1,2,9.3,2072,12,0.522,0.582,0.137,5.2,22.3,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.8,1.9,1.6,7500000,0
"69","Alan Anderson",2012,"SF",29,"TOR",17,12,27.1,3.2,8.4,0.387,1.4,3.6,0.393,1.8,4.8,0.383,0.472,1.7,2,0.853,0.5,1.5,1.5,0.3,0.2,1.5,2.1,9.6,461,8.7,0.519,0.43,0.239,2.1,6.5,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.2,-2.2,-0.2,75793,1
"70","Alan Anderson",2012,"SF",29,"TOR",17,12,27.1,3.2,8.4,0.387,1.4,3.6,0.393,1.8,4.8,0.383,0.472,1.7,2,0.853,0.5,1.5,1.5,0.3,0.2,1.5,2.1,9.6,461,8.7,0.519,0.43,0.239,2.1,6.5,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.2,-2.2,-0.2,6890,1
"71","Alan Anderson",2012,"SF",29,"TOR",17,12,27.1,3.2,8.4,0.387,1.4,3.6,0.393,1.8,4.8,0.383,0.472,1.7,2,0.853,0.5,1.5,1.5,0.3,0.2,1.5,2.1,9.6,461,8.7,0.519,0.43,0.239,2.1,6.5,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.2,-2.2,-0.2,6890,1
"72","Alan Anderson",2013,"SF",30,"TOR",65,2,23,3.6,9.5,0.383,1.5,4.4,0.333,2.2,5.1,0.426,0.46,1.9,2.3,0.857,0.5,1.8,1.6,0.7,0.1,1.2,2,10.7,1495,12.6,0.509,0.463,0.239,2.7,9.2,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,0.4,-2.4,0,885120,1
"73","Alan Anderson",2014,"SF",31,"BRK",78,26,22.7,2.5,6.2,0.4,1.1,3.2,0.339,1.4,3,0.464,0.487,1.2,1.5,0.78,0.5,1.7,1,0.6,0.1,0.8,1.9,7.2,1773,9.5,0.525,0.511,0.243,2.7,9.1,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-0.8,-1.4,-0.1,1005646,0
"74","Alan Anderson",2014,"SF",31,"BRK",78,26,22.7,2.5,6.2,0.4,1.1,3.2,0.339,1.4,3,0.464,0.487,1.2,1.5,0.78,0.5,1.7,1,0.6,0.1,0.8,1.9,7.2,1773,9.5,0.525,0.511,0.243,2.7,9.1,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-0.8,-1.4,-0.1,1005646,0
"75","Alan Anderson",2015,"SG",32,"BRK",74,19,23.6,2.6,5.9,0.443,1,2.8,0.348,1.6,3.1,0.53,0.526,1.1,1.4,0.812,0.4,2.3,1.1,0.8,0.1,0.8,2,7.4,1744,10.6,0.563,0.477,0.23,2,11.1,7.2,1.7,0.2,11,14.2,1.7,1.1,2.7,0.075,0,-0.5,0.6,1304773,1
