"","fix","Pos","G","GS","MP","FG","FGA","FG.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","average.salary"
"1","quincyacy","PF",68,22,-0.473474039487149,-0.672139960276828,-0.69710470618445,0.185085263112892,-0.138452127342789,-0.395581761606515,-0.460582903958999,0.392900706869692,0.203405665023186,0.150216242104304,0.138912498376187,-0.582762108175585,-0.765081611610853,-0.318555205032722,-0.501897233370499,0.471465356833111,-0.648444871684006,0.0936716258815784,0.137911757380801,0.435407194345145,0.961231912633383,0.751455324811384,-0.520707349430322,-0.768873127978951,-0.141248114001957,0.212552441009314,-0.698413861760758,-0.335475858141873,-0.75382043775431,-0.531537352331491,-0.525175207526287,-0.758194349234261,-0.419980777798553,-0.904852367991708,-0.798866774361421,789705
"2","jordanadams","SG",30,0,-1.8020681129665,-1.18129661531248,-1.17070311411109,-0.617125422448882,-0.519811873992808,-0.850332581102149,-0.826564755030153,-1.0741022388125,-0.854119715572475,-1.44627518605665,-1.31360079392708,-0.863655497844914,-0.527428523819323,-0.532601948063481,-1.02854556318119,-1.7519271175197,-1.16832546408377,-0.7628417975348,-0.0488843906058716,-0.257185606258323,-1.06923852716812,-0.798595850762913,-0.3659812309684,2.75689646304998,0.44324438175404,-0.077435717660453,0.282805852542592,-0.818692306687706,-1.0332203354897,-0.989968753207725,-0.351731985587365,-0.543758936624069,0.727327623748136,-0.000377848363291222,-0.508714119472446,1404600
"3","stevenadams","C",70,67,0.328695967141894,-0.213898970744742,-0.507665343013793,1.49639119143502,0.914827172928693,-0.0924145486094261,0.454371723718888,-1.97106975417247,2.08345078608214,0.918897300107725,1.42542427155908,-0.63894078610945,-0.527428523819323,1.60786548224411,0.156413178892861,2.05960283851369,-0.314235919427013,0.405131052578444,1.72567901526752,1.79494121034455,0.754743393331535,1.25358457887066,-0.874367048771858,-0.768873127978951,1.41739854134737,1.00342923738141,-0.938712567304435,0.0994189455493778,0.643179050922629,0.314797541593862,0.307352257780539,-0.372210606535916,1.07152014421214,0.361411959488076,0.216667517749992,2423849
"4","alexisajinca","C",68,8,-1.07510154445893,-0.417561632759002,-0.720784626580782,1.588953962846,1.02378710054298,-0.319789958357243,-0.399585928780473,0.677918422030803,0.55591412522174,0.0319576177960853,0.221913257936374,-0.751298141977182,-1.00273469940238,0.751678510121072,-0.370235150917827,0.471465356833111,-0.537041887598341,1.30057690433193,0.195387495222854,1.84624438075962,1.73556386001531,1.88670407311932,-0.575966677452437,-0.615578797934215,1.54728576262648,0.687078518832569,0.422980097443071,0.0994189455493778,-0.288153941528664,-0.00257804362814508,1.13987972308736,0.0137731361624301,0.383135103284129,0.289053997917802,-0.218561464583471,808482
"5","furkanaldemir","PF",41,9,-1.18790670164114,-1.28312794631961,-1.40750231807441,1.01815020581166,0.351867546921521,-1.00191618760069,-0.887561730208679,-2.14711010765434,1.02592540548648,-0.38194756728268,0.0974121185960938,-0.751298141977182,-0.765081611610853,-0.104508462001963,-1.16020764563386,0.630279105001168,-1.31686277619799,-0.217787800815285,0.518688520584404,2.48753401094801,0.995646665850357,1.66838700613702,-0.564914811848014,-0.00240147775526979,0.508187992393595,0.766166198469779,-2.0801314186369,-0.480440792705623,-0.75382043775431,-0.637329214072161,0.498139801913353,-0.929742679322415,1.18625098436681,-0.0365568291484279,-0.436175955750202,2855153
"6","colealdrich","C",61,16,-0.836957323740933,-0.570308629269698,-0.69710470618445,0.47820070591431,-0.283732030828511,-0.622957171354332,-0.704570804673102,0.36775208494371,0.79091976535411,0.50499211502896,0.595416675957215,-0.470404752307853,-0.289775436027793,1.39381873921335,-0.370235150917827,0.153837860496996,-0.722713527741115,-0.295652657489501,-0.436845621039731,1.64103169909933,2.40665154774631,2.1705162601963,-0.0123215316268632,0.610775842423675,2.52143992221981,0.58162827931629,-0.137716882158844,-0.432119147851039,-0.101887343038405,-0.355217582763709,0.23797496900497,-0.715307266712223,1.81727060521749,0.542306863413759,-0.0734851371389833,981084
"7","lamarcusaldridge","PF",71,71,1.59462050885335,2.94287229047629,2.85488335326536,0.293075163092362,-0.265572042892796,2.0297559423702,1.79630517764645,0.904256019364627,1.73094232588359,2.75190597688512,2.5459345256216,-0.189511362638524,-0.0521223482362626,1.17977199618259,0.551399426250877,-0.16378963583912,2.60080883081454,-0.00365944496118989,-0.127913530138695,0.640619876005432,1.37420895123708,1.18808945877597,-0.465448021408207,-0.922167458023687,0.183469939195819,-1.52737651100929,2.24524528114929,1.54906829118688,2.04017853959957,1.9016754677039,1.24394565625072,0.356869796338737,0.0389425828201226,0.325232978702939,0.434282008916723,13000000
"8","lavoyallen","C",63,0,-0.711618260205146,-0.672139960276828,-0.744464546977114,0.385637934503336,-0.392691958442801,-0.850332581102149,-0.887561730208679,-0.294494959107107,1.14342822555266,0.0910869299501947,0.429415156836841,-0.470404752307853,-1.24038778719391,0.537631767090313,-0.896883480728516,-0.481417132175235,-0.815549347812502,-0.684976940860583,-0.839175785934103,1.94885072158976,0.961231912633383,1.45006993915473,-0.277566306133016,-1.3820504481579,0.962793266870482,-0.499236675725569,-0.758488538146677,-0.190510923578122,0.0843792554518535,-0.143633859282371,0.584861412882814,-0.372210606535916,1.30098182452148,0.506127882628622,-0.000946973416739439,948163
"9","tonyallen","SG",63,41,0.441501124324103,0.0406793567730835,-0.152466537068812,0.740461891578736,0.2065876434358,-0.243998155107971,-0.094601052887844,-0.92321050725662,0.673416945287925,-0.145430318666243,0.138912498376187,-0.358047396440121,3.03736779305363,0.109538281028796,0.156413178892861,1.10672034950534,-0.147131443298517,-0.00365944496118989,0.0229602816966946,0.512361949967753,-0.466980345871062,-0.0781495297213387,-0.58701854305686,3.82995677336314,-0.0763045033624017,0.370727800283733,-0.47814004834572,-0.383797502996456,1.57451204337392,0.314797541593862,0.446106835331676,0.0566602186844685,2.1614631256815,1.41060240225704,1.01458731869467,5000000
"10","alfarouqaminu","SF",74,3,-0.523609664901464,-0.773971291283958,-0.720784626580782,-0.539989779606404,-0.6287718016071,-0.395581761606515,-0.338588953601947,-0.210666219353839,0.55591412522174,0.0319576177960853,0.221913257936374,-0.695119464043316,0.423183827346798,0.751678510121072,-0.765221398275844,-0.0049758876710621,-0.704146363726838,-0.470848585006488,0.410921512130554,0.999742068910934,0.599877003855149,0.795118738207843,-0.80805585514532,1.53054182269209,1.35245493070781,-0.288336196693011,-0.758488538146677,-0.238832568432706,0.45691245243237,0.0326859102854112,0.376729546556108,0.0137731361624301,1.70253976506282,1.08499157519081,0.506820172638967,981084
"11","chrisandersen","C",60,20,-0.473474039487149,-0.773971291283958,-1.0286235917331,2.05176781990087,1.73202663003588,-0.243998155107971,-0.15559802806637,-0.587895548243547,0.320908485089371,0.386733490720741,0.387914777056748,-0.751298141977182,-0.765081611610853,1.17977199618259,-0.765221398275844,-0.640230880343293,-0.75984785576967,1.82616468688289,1.99150430278702,0.768877802043111,1.42583108106254,1.27541628556889,-0.80805585514532,-0.615578797934215,1.93694742646381,0.133464761372105,-1.33921040987723,0.196062235258545,-0.00875404379327586,0.138477772026081,1.00112514553623,-0.286436441491839,1.35834724459882,0.578485844198896,0.0715911903055043,5187500
"12","alananderson","SG",74,19,0.115619559131055,-0.468477298262567,-0.460305502221129,-0.0617487939830393,0.587947390085819,-0.395581761606515,-0.460582903958999,0.627621178178843,-0.736616895506291,-0.44107687943679,-0.525093578105307,-0.526583430241719,0.185530739555268,-0.74664869109424,-0.633559315823171,0.153837860496996,-0.369937411469845,0.677658050938201,-0.314709678125367,-0.821520480824112,-0.656261488564423,-0.754932437366454,-0.686485333496667,0.150892852289466,-0.920571441676619,-0.525599235604638,-0.958737459433075,0.00277565584021108,-0.381287240773793,-0.178897813195927,-0.31704334119958,0.228208548772622,-0.24788451756655,0.0358011324218454,-0.146023300861227,1304773
"13","kyleanderson","SF",33,8,-1.48872045412703,-1.33404361182317,-1.21806295490376,-1.52732600799013,-2.33581066756433,-1.00191618760069,-1.07055265574426,-0.78908452365139,-0.97162253563866,-0.618464815899118,-0.774095856785867,-0.695119464043316,-0.527428523819323,-0.532601948063481,-1.29186972808653,-1.7519271175197,-1.33542994021227,-2.70946321439021,-0.839175785934103,-0.924126821654255,1.01285404245884,0.292989484148564,-0.277566306133016,0.764070172468411,-0.0763045033624017,-0.921037633790684,-1.11893659646219,-0.963657241251456,-0.846953736999439,-1.02523270712128,-0.854717329210238,-2.00191974237338,1.41571266467615,-0.760136444851161,-0.653790446916933,1142880
