"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"167","tyronewallace",196,"Tyrone Wallace\wallaty01",499,"PG",23,"LAC",30,19,28.4,3.7,8.2,0.445,0.3,1.3,0.25,3.3,6.9,0.483,0.466,2,2.6,0.782,0.7,2.8,3.5,2.4,0.9,0.4,1.5,2.8,9.7,108,23,1,30,851,110,247,10,40,61,78,21,105,71,27,13,46,83,291,0.445,0.25,0.782,28.4,9.7,3.5,2.4,815615
"168","tyusjones",91,"Tyus Jones\jonesty01",267,"PG",21,"MIN",82,11,17.9,1.8,4,0.457,0.5,1.6,0.349,1.3,2.4,0.528,0.526,0.9,1,0.877,0.2,1.4,1.6,2.8,1.2,0.1,0.7,1.3,5.1,31,19,3,179,2814,281,665,87,255,132,163,33,246,496,174,14,130,193,781,0.423,0.341,0.81,15.7,4.4,1.4,2.8,1339720
"169","wayneselden",139,"Wayne Selden\seldewa01",445,"SG",23,"MEM",35,9,19.8,3.3,7.7,0.431,1.4,3.5,0.402,1.9,4.2,0.456,0.522,1.3,1.7,0.746,0.5,1.1,1.6,1.9,0.5,0.1,1.5,1.7,9.3,72,22,2,49,928,141,327,56,150,58,81,17,72,79,24,6,66,77,396,0.431,0.373,0.716,18.9,8.1,1.5,1.6,1428781
"170","wesleyiwundu",197,"Wesley Iwundu\iwundwe01",241,"SF",23,"ORL",62,12,16.5,1.5,3.5,0.427,0.1,0.7,0.196,1.4,2.8,0.488,0.447,0.5,0.8,0.723,0.6,1.6,2.2,0.9,0.5,0.2,0.5,1.3,3.7,50,23,1,62,1020,93,218,9,46,34,47,36,137,57,33,12,30,81,229,0.427,0.196,0.723,16.5,3.7,2.2,0.9,1348921
"171","williecauleystein",92,"Willie Cauley-Stein\caulewi01",91,"C",24,"SAC",73,58,28,5.3,10.6,0.502,0,0.2,0.25,5.3,10.4,0.506,0.504,2.1,3.4,0.619,1.8,5.2,7,2.4,1.1,0.9,1.5,2.5,12.8,8,22,3,214,4877,834,1593,3,16,335,523,350,1201,289,178,177,224,478,2006,0.524,0.188,0.641,22.8,9.4,5.6,1.4,3551200
"172","williereed",93,"Willie Reed\reedwi02",425,"C",27,"TOT",42,5,10.2,1.9,2.9,0.669,0,0,0.5,1.9,2.8,0.672,0.674,0.8,1.3,0.582,0.8,2,2.9,0.2,0.2,0.5,0.5,1.3,4.6,57,25,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751,0.592,0.333,0.561,12.4,4.9,3.8,0.3,1577230
"173","williereed",94,"Willie Reed\reedwi02",425,"C",27,"LAC",39,5,10.7,2.1,3.1,0.667,0,0.1,0.5,2,3,0.669,0.671,0.8,1.4,0.582,0.9,2.2,3.1,0.2,0.2,0.6,0.5,1.4,4.9,57,25,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751,0.592,0.333,0.561,12.4,4.9,3.8,0.3,1577230
"174","willyhernangomez",140,"Willy Hernangomez\hernawi01",212,"C",23,"TOT",48,1,10.3,1.9,3.4,0.555,0.1,0.3,0.417,1.8,3.2,0.566,0.57,1.2,1.9,0.656,1.3,2.5,3.8,0.7,0.4,0.3,0.7,1.3,5.1,34,22,2,120,1819,337,629,9,27,150,215,231,685,129,59,52,135,214,833,0.536,0.333,0.698,15.2,6.9,5.7,1.1,1466125
"175","willyhernangomez",141,"Willy Hernangomez\hernawi01",212,"C",23,"NYK",26,0,9,1.9,3.1,0.605,0,0.2,0.2,1.8,2.9,0.632,0.611,0.5,1.1,0.429,0.8,1.7,2.6,0.8,0.3,0.3,1,1.2,4.3,34,22,2,120,1819,337,629,9,27,150,215,231,685,129,59,52,135,214,833,0.536,0.333,0.698,15.2,6.9,5.7,1.1,1466125
"176","yogiferrell",142,"Yogi Ferrell\ferreyo01",160,"SG",24,"DAL",82,21,27.8,3.8,8.9,0.426,1.6,4.4,0.373,2.2,4.5,0.477,0.518,1,1.3,0.796,0.3,2.7,3,2.5,0.8,0.1,1,1.9,10.2,23,23,2,128,3479,471,1124,202,535,156,192,46,360,373,106,18,148,243,1300,0.419,0.378,0.813,27.2,10.2,2.8,2.9,207798
"177","zachcollins",198,"Zach Collins\colliza01",102,"C",20,"POR",66,1,15.8,1.7,4.4,0.398,0.5,1.7,0.31,1.2,2.7,0.455,0.458,0.4,0.6,0.643,0.7,2.7,3.3,0.8,0.3,0.5,0.9,2,4.4,25,20,1,66,1045,115,289,35,113,27,42,45,221,52,17,31,58,133,292,0.398,0.31,0.643,15.8,4.4,3.3,0.8,3343080
