"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"119","mylesturner",76,"Myles Turner\turnemy01",486,"C",21,"IND",65,62,28.2,4.7,9.8,0.479,0.9,2.4,0.357,3.8,7.4,0.519,0.523,2.5,3.2,0.777,1.4,5,6.4,1.3,0.6,1.8,1.5,2.9,12.7,66,19,3,206,5744,1014,2038,99,286,493,630,300,1338,234,137,376,268,606,2620,0.498,0.346,0.783,27.9,12.7,6.5,1.1,2700451
"120","nemanjabjelica",77,"Nemanja Bjelica\bjeline01",49,"PF",29,"MIN",67,21,20.5,2.6,5.5,0.461,1.1,2.7,0.415,1.4,2.8,0.505,0.563,0.5,0.7,0.8,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,6.8,5,27,3,192,3636,432,962,180,485,121,161,159,728,248,116,57,158,449,1165,0.449,0.371,0.752,18.9,6.1,3.8,1.3,3900000
"121","nerlensnoel",32,"Nerlens Noel\noelne01",370,"C",23,"DAL",30,6,15.7,1.8,3.5,0.524,0,0,0,1.8,3.5,0.529,0.524,0.7,0.9,0.75,1.6,4,5.6,0.7,1,0.7,0.9,2,4.4,57,20,4,223,5795,847,1654,1,4,372,596,480,1615,320,347,314,381,585,2067,0.512,0.25,0.624,26,9.3,7.2,1.4,4187598
"122","nikolajokic",78,"Nikola Jokic\jokicni01",263,"C",22,"DEN",75,73,32.6,6.7,13.5,0.499,1.5,3.7,0.396,5.2,9.7,0.538,0.554,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,30,20,3,228,6214,1305,2464,184,503,608,731,588,2081,1006,230,166,485,634,3402,0.53,0.366,0.832,27.3,14.9,9.1,4.4,1358500
"125","nikstauskas",34,"Nik Stauskas\stausni01",462,"SG",24,"TOT",41,0,12.8,1.5,3.8,0.39,1,2.4,0.4,0.5,1.3,0.37,0.519,0.5,0.7,0.724,0.1,1.5,1.6,1,0.2,0.1,0.6,0.6,4.4,72,21,4,267,5647,629,1629,326,933,289,361,59,561,432,118,73,288,375,1873,0.386,0.349,0.801,21.1,7,2.1,1.6,3103867
"126","nikstauskas",33,"Nik Stauskas\stausni01",462,"SG",24,"BRK",35,0,13.7,1.7,4.3,0.393,1.1,2.8,0.404,0.5,1.5,0.373,0.527,0.5,0.8,0.704,0.1,1.7,1.8,1.1,0.1,0.1,0.6,0.6,5.1,72,21,4,267,5647,629,1629,326,933,289,361,59,561,432,118,73,288,375,1873,0.386,0.349,0.801,21.1,7,2.1,1.6,3103867
"127","noahvonleh",37,"Noah Vonleh\vonleno01",493,"PF",22,"POR",33,12,14.4,1.4,2.9,0.49,0.1,0.2,0.333,1.4,2.7,0.5,0.5,0.7,0.9,0.742,1.1,4,5.1,0.4,0.2,0.3,0.5,1.3,3.6,75,19,4,231,3573,381,858,43,145,152,229,320,1089,99,80,79,156,394,957,0.444,0.297,0.664,15.5,4.1,4.7,0.4,2854628
"128","noahvonleh",38,"Noah Vonleh\vonleno01",493,"PF",22,"TOT",54,16,16.2,1.9,4.3,0.444,0.4,1.2,0.303,1.6,3.1,0.5,0.487,0.7,1.1,0.621,1.3,4.5,5.8,0.6,0.4,0.3,0.6,1.3,4.9,75,19,4,231,3573,381,858,43,145,152,229,320,1089,99,80,79,156,394,957,0.444,0.297,0.664,15.5,4.1,4.7,0.4,2854628
"129","normanpowell",79,"Norman Powell\powelno01",413,"SG",24,"TOR",70,18,15.2,2.1,5.3,0.401,0.8,2.7,0.285,1.4,2.7,0.516,0.472,0.5,0.6,0.821,0.2,1.5,1.7,1.3,0.5,0.2,0.9,1.6,5.5,56,22,3,195,3155,474,1109,145,448,201,251,56,399,218,118,40,168,297,1294,0.427,0.324,0.801,16.2,6.6,2,1.1,846461
"130","oganunoby",186,"OG Anunoby\anunoog01",18,"SF",20,"TOR",74,62,20,2.2,4.7,0.471,1,2.7,0.371,1.2,2,0.604,0.577,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,5,20,1,74,1481,163,346,73,197,39,62,44,184,55,52,14,45,130,438,0.471,0.371,0.629,20,5.9,2.5,0.7,1798980
"131","pascalsiakam",127,"Pascal Siakam\siakapa01",448,"PF",23,"TOR",81,5,20.7,3.1,6.1,0.508,0.4,1.6,0.22,2.8,4.5,0.612,0.537,0.7,1.1,0.621,1,3.5,4.5,2,0.8,0.5,0.8,2,7.3,73,22,2,136,2538,356,703,30,139,76,119,143,549,176,88,87,100,275,818,0.506,0.216,0.639,18.7,6,4,1.3,1222980
