"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"22","davidnwaba",55,"David Nwaba\nwabada01",375,"SG",25,"CHI",70,21,23.5,2.9,6,0.478,0.3,0.7,0.346,2.6,5.3,0.496,0.499,1.9,2.9,0.655,1.3,3.4,4.7,1.5,0.8,0.4,1.1,2.3,7.9,58,24,2,90,2043,249,504,19,57,158,242,106,389,118,72,36,88,194,675,0.494,0.333,0.653,22.7,7.5,4.3,1.3,693070
"23","davisbertans",56,"Davis Bertans\bertada01",44,"PF",25,"SAS",77,10,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2,1,0.3,0.4,0.5,1.2,5.9,8,24,2,144,1894,264,600,163,425,68,83,40,251,120,46,56,68,168,759,0.44,0.384,0.819,13.2,5.3,1.7,0.8,724360
"24","deaaronfox",108,"De'Aaron Fox\foxde01",164,"PG",20,"SAC",73,60,27.8,4.5,10.9,0.412,0.6,2.1,0.307,3.8,8.8,0.436,0.441,1.9,2.7,0.723,0.5,2.3,2.8,4.4,1,0.3,2.4,2.2,11.6,36,20,1,73,2026,328,797,47,153,141,195,33,204,320,70,20,173,163,844,0.412,0.307,0.723,27.8,11.6,2.8,4.4,5040060
"25","deandrebembry",57,"DeAndre' Bembry\bembrde01",42,"SF",23,"ATL",26,3,17.5,2,4.9,0.414,0.4,1.2,0.367,1.6,3.8,0.429,0.457,0.7,1.3,0.576,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2,5,22,2,64,826,100,226,12,48,25,49,22,131,77,29,17,63,59,237,0.442,0.25,0.51,12.9,3.7,2,1.2,1533480
"26","dejountemurray",58,"Dejounte Murray\murrade01",360,"PG",21,"SAS",81,48,21.5,3.3,7.5,0.443,0.1,0.4,0.265,3.2,7.1,0.454,0.451,1.3,1.8,0.709,1.4,4.3,5.7,2.9,1.2,0.4,1.7,1.9,8.1,54,20,2,119,2065,320,725,18,57,126,178,116,501,279,105,37,172,180,784,0.441,0.316,0.708,17.4,6.6,4.2,2.3,1206660
"27","delonwright",5,"Delon Wright\wrighde01",530,"PG",25,"TOR",69,4,20.8,2.9,6.3,0.465,0.8,2.2,0.366,2.1,4,0.52,0.53,1.4,1.7,0.829,0.7,2.2,2.9,2.9,1,0.5,1.1,1.2,8,72,23,3,123,2108,286,628,71,196,165,207,69,283,288,107,47,119,119,808,0.455,0.362,0.797,17.1,6.6,2.3,2.3,1577280
"28","dennissmith",109,"Dennis Smith\smithde03",455,"PG",20,"DAL",69,69,29.7,5.9,14.8,0.395,1.5,4.9,0.313,4.3,9.9,0.436,0.447,1.9,2.8,0.694,0.7,3,3.8,5.2,1,0.3,2.8,2.2,15.2,101,20,1,69,2049,404,1023,106,339,134,193,50,260,358,71,18,195,152,1048,0.395,0.313,0.694,29.7,15.2,3.8,5.2,3519120
"29","denzelvalentine",59,"Denzel Valentine\valende01",490,"SG",24,"CHI",77,37,27.2,3.9,9.4,0.417,1.9,4.8,0.386,2.1,4.6,0.45,0.517,0.5,0.7,0.745,0.6,4.5,5.1,3.2,0.8,0.1,1.3,2.4,10.2,79,23,2,134,3071,403,1009,216,578,52,69,59,544,307,95,18,148,271,1074,0.399,0.374,0.754,22.9,8,4.1,2.3,2139300
"30","devinbooker",6,"Devin Booker\bookede01",58,"SG",21,"PHO",54,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4,4.5,4.7,0.9,0.3,3.6,3.1,24.9,6,19,3,208,6703,1428,3352,393,1078,871,1026,99,680,721,163,55,595,635,4120,0.426,0.365,0.849,32.2,19.8,3.3,3.5,2223600
"31","deyontadavis",60,"Deyonta Davis\davisde01",123,"C",21,"MEM",62,6,15.2,2.6,4.3,0.608,0,0,NA,2.6,4.3,0.608,0.608,0.6,0.9,0.667,1.2,2.8,4,0.6,0.2,0.6,0.5,2,5.8,16,20,2,98,1181,185,312,0,0,48,75,95,310,42,18,56,40,165,418,0.593,NA,0.64,12.1,4.3,3.2,0.4,1307614
